,,Game,Change watch time (mins),Change stream time (mins),Change peak viewers,Change peak channels,Change streamers,Change average viewers,Change average channels,Change average viewer ratio,Year,Language
1,,Music,1448418240,1932780,-3941,3,128,2756,4,289.62,2018,Chinese
2,,Just Chatting,429188280,3239940,26301,145,3512,816,6,132.47,2018,Chinese
3,,Dead by Daylight,348180120,2571060,7087,34,1984,663,5,72.69,2018,Chinese
4,,IRL,337804500,5151480,-2452,-49,4329,642,9,-44.82,2018,Chinese
5,,Monster Hunter: World,322541580,11858160,14947,317,9614,614,22,-83.81,2018,Chinese
6,,Hearthstone,189505800,560640,10933,33,525,361,1,-2.61,2018,Chinese
7,,Always On,164936040,102360,9738,1,2,313,0,1611.33,2018,Chinese
8,,Tom Clancy's Rainbow Six Siege,132156840,3729960,20073,36,3255,251,7,11.04,2018,Chinese
9,,"Pokémon: Let's Go, Pikachu!",130949700,457380,41394,61,520,249,0,286.3,2018,Chinese
10,,Fortnite,128552820,2641620,1296,14,1927,244,5,-4.33,2018,Chinese
