,,Game,Change watch time (mins),Change stream time (mins),Change peak viewers,Change peak channels,Change streamers,Change average viewers,Change average channels,Change average viewer ratio,Year,Language
1,,Just Chatting,2305632540,11118540,34717,-308,7008,4388,21,7.41,2022,Korean
2,,VALORANT,1491564360,27704040,88548,215,11735,2838,52,13.87,2022,Korean
3,,ELDEN RING,1097680560,16327260,145247,1068,9116,2089,31,-45.27,2022,Korean
4,,Overwatch 2,746379000,14358180,86861,659,15938,1420,27,-452.63,2022,Korean
5,,Yu-Gi-Oh! Master Duel,503913960,8286060,27236,120,6535,958,15,42.81,2022,Korean
6,,VRChat,478003920,412440,66913,18,1007,910,0,124.49,2022,Korean
7,,Vampire Survivors,437430180,3261600,67082,203,9639,832,6,134.12,2022,Korean
8,,Mahjong Soul,432740880,2414520,53168,71,1952,824,5,118.51,2022,Korean
9,,Umamusume: Pretty Derby,412948200,2591760,64952,211,2597,785,5,27.83,2022,Korean
10,,Goose Goose Duck,387259920,4296000,38087,130,10028,737,8,-1086.43,2022,Korean
