,,Channel,Watch time (mins),Stream time (mins),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Year
1,https://static-cdn.jtvnw.net/jtv_user_pictures/1fb918ba71519c23-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,livekiss,1416769815,509640,8958,2779,33797,15310,6466505,TRUE,FALSE,Chinese,2018
2,https://static-cdn.jtvnw.net/jtv_user_pictures/uzra-profile_image-e60ae5576fa3fd8a-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Uzra,629751195,197190,9977,3193,231471,37337,15173991,TRUE,FALSE,Chinese,2018
3,https://static-cdn.jtvnw.net/jtv_user_pictures/godjj-profile_image-73e3a1dc1807a3ec-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,接接 (godjj),621821985,131100,14765,4742,366098,32145,19988480,TRUE,FALSE,Chinese,2018
4,https://static-cdn.jtvnw.net/jtv_user_pictures/275e30f1-2acb-41dd-b127-8193727cad6f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,老皮 (mobilmobil),560630985,104745,19082,5351,527422,40743,18274641,TRUE,TRUE,Chinese,2018
5,https://static-cdn.jtvnw.net/jtv_user_pictures/xargon0731-profile_image-4eda4dc86e93e0e0-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,殺梗 (xargon0731),538453560,123600,19135,4355,323362,51022,18241440,TRUE,FALSE,Chinese,2018
6,https://static-cdn.jtvnw.net/jtv_user_pictures/45b5c790-93b8-484f-95c0-45d7e1b2993d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,餐餐自由配 (blusewilly_retry),534726825,99045,15478,5398,437688,41746,14898168,TRUE,FALSE,Chinese,2018
7,https://static-cdn.jtvnw.net/jtv_user_pictures/asiagodtonegg3be0-profile_image-081feb3428b1a1c6-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,亞洲統神 (asiagodtonegg3be0),527840265,93315,15660,5656,559603,37874,17552069,FALSE,FALSE,Chinese,2018
8,https://static-cdn.jtvnw.net/jtv_user_pictures/1b64cc8e-cf32-4198-a5e1-96a3b3c96c11-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,kyo1984123,407162175,188280,11951,2162,172374,34683,16477777,TRUE,TRUE,Chinese,2018
9,https://static-cdn.jtvnw.net/jtv_user_pictures/b7304e11-2c97-4e04-b1a2-f820fe7d0549-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,狂暴小建 (a541021),384113940,126870,14655,3027,220965,46621,12387037,TRUE,TRUE,Chinese,2018
10,https://static-cdn.jtvnw.net/jtv_user_pictures/9ba24244-d3f8-4df9-a825-902dd265b61a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Ko0416,351738480,143520,7201,2450,117920,49657,12674851,TRUE,TRUE,Chinese,2018
