,,Channel,Watch time (mins),Stream time (mins),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Year
1,https://static-cdn.jtvnw.net/jtv_user_pictures/e5e89aba-723b-4ba1-852c-d8fba19b1da1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,YoDa,1854831030,134010,68428,13840,2399683,437744,52813677,TRUE,FALSE,Portuguese,2018
2,https://static-cdn.jtvnw.net/jtv_user_pictures/64d44235-1dee-4bca-95da-bee1ee96eea3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,alanzoka,1395409935,91380,47851,15269,6318416,1083884,33441445,TRUE,FALSE,Portuguese,2018
3,https://static-cdn.jtvnw.net/jtv_user_pictures/044e146b-09ff-449d-b2a1-95a2358ac3a8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,jukes,930066390,93315,34168,9966,1788541,417945,27814261,TRUE,TRUE,Portuguese,2018
4,https://static-cdn.jtvnw.net/jtv_user_pictures/f4b12683-57ff-4b57-926a-67512b43a7ff-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Gaules,881088270,344715,60491,2555,3847490,403613,23865001,TRUE,TRUE,Portuguese,2018
5,https://static-cdn.jtvnw.net/jtv_user_pictures/269e2683-5533-42a3-a64c-403828c08be1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,SkipNhO,688735335,136035,34968,5062,1252659,390852,23397084,TRUE,FALSE,Portuguese,2018
6,https://static-cdn.jtvnw.net/jtv_user_pictures/5d0f23d2-f73a-488c-8324-cf0eb2b3883b-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,jovirone,632024835,105045,18949,6016,1147622,264980,20732934,TRUE,FALSE,Portuguese,2018
7,https://static-cdn.jtvnw.net/jtv_user_pictures/8293c341-9a4a-4052-98b4-049781ae2cc0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,CBLOL,623022600,51285,76080,12147,1559165,139599,23547124,TRUE,FALSE,Portuguese,2018
8,https://static-cdn.jtvnw.net/jtv_user_pictures/774dcf07-a145-4fdf-8f5d-2e2f24a7cb0f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,gratis150ml,377270505,180855,9477,2085,831155,145817,12925642,TRUE,TRUE,Portuguese,2018
9,https://static-cdn.jtvnw.net/jtv_user_pictures/4d2e7f32-73cb-47bd-8152-ca60811dffa6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Rakin,311008290,64860,16623,4794,1614264,220180,11335812,TRUE,FALSE,Portuguese,2018
10,https://static-cdn.jtvnw.net/jtv_user_pictures/thedarkness-profile_image-4ad62bdc8b2dee89-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,TheDarkness,299037120,93180,13134,3208,699121,190040,10194139,TRUE,FALSE,Portuguese,2018
