,,Channel,Watch time (mins),Stream time (mins),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Year
1,https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,xQc,8847081540,215010,222720,41146,11687934,5364951,132751155,TRUE,FALSE,English,2020
2,https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,summit1g,6505033950,221550,310998,29361,6167952,1696810,94561929,TRUE,FALSE,English,2020
3,https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,ESL_CSGO,4786942590,518580,300575,9230,5969718,892718,128514894,TRUE,FALSE,English,2020
4,https://static-cdn.jtvnw.net/jtv_user_pictures/b3c347ed-1a7a-40a2-8bee-8a7c4426eb33-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,NICKMERCS,4406970885,127065,163241,34682,6658557,1691981,54622518,TRUE,FALSE,English,2020
5,https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,loltyler1,4096418850,143265,105499,28593,5180065,1059740,67469321,TRUE,FALSE,English,2020
6,https://static-cdn.jtvnw.net/jtv_user_pictures/a28b0d37-81d0-415a-8ed8-1a1f998ea26d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Fextralife,4009993485,175785,68795,22811,1480893,445534,720291870,TRUE,FALSE,English,2020
7,https://static-cdn.jtvnw.net/jtv_user_pictures/bd6ad02e-9bc7-4956-b62f-7277d9981109-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,TimTheTatman,3427872990,106380,335403,32222,7016611,1729529,56882290,TRUE,TRUE,English,2020
8,https://static-cdn.jtvnw.net/jtv_user_pictures/asmongold-profile_image-f7ddcbd0332f5d28-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Asmongold,3316320495,76545,187953,43324,3364117,549313,52747691,TRUE,FALSE,English,2020
9,https://static-cdn.jtvnw.net/jtv_user_pictures/82b63a01-628f-4c81-9b05-dd3a5011fdda-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Tfue,3147036030,137475,190173,22891,11375370,2429948,73128517,TRUE,FALSE,English,2020
10,https://static-cdn.jtvnw.net/jtv_user_pictures/fc7b15b2-e400-4e74-8c8b-2ad3725e5770-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,sodapoppin,3136184805,158025,107432,19845,8833961,3359738,45684665,TRUE,TRUE,English,2020
