,,Channel,Watch time (mins),Stream time (mins),Peak viewers,Average viewers,Followers,Followers gained,Partnered,Mature,Language,Year
1,https://static-cdn.jtvnw.net/jtv_user_pictures/e496689c-5e8f-44a6-8733-b3c5b6e17e19-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,蝦愛橘子 (shuteye_orange),1001003580,274620,9944,3644,155363,34462,TRUE,TRUE,Chinese,2022
2,https://static-cdn.jtvnw.net/jtv_user_pictures/275e30f1-2acb-41dd-b127-8193727cad6f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,老皮 (mobilmobil),668629935,112365,13182,5950,527422,31646,TRUE,TRUE,Chinese,2022
3,https://static-cdn.jtvnw.net/jtv_user_pictures/godjj-profile_image-73e3a1dc1807a3ec-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,接接 (godjj),588595995,128160,10341,4592,366098,7146,TRUE,FALSE,Chinese,2022
4,https://static-cdn.jtvnw.net/jtv_user_pictures/0306e30f-e578-4d40-a015-ad419cd323c9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,嬌兔 (zrush),564649275,151290,9918,3732,251960,23336,TRUE,TRUE,Chinese,2022
5,https://static-cdn.jtvnw.net/jtv_user_pictures/3a0a20f0-b3b1-4c9b-bfa7-baba9dda8d7e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,lolpacifictw,563117790,37170,123097,15149,228226,37585,TRUE,FALSE,Chinese,2022
6,https://static-cdn.jtvnw.net/jtv_user_pictures/45b5c790-93b8-484f-95c0-45d7e1b2993d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,餐餐自由配 (blusewilly_retry),541111815,110745,15889,4886,437688,21049,TRUE,FALSE,Chinese,2022
7,https://static-cdn.jtvnw.net/jtv_user_pictures/2183ffaa-1d87-4385-b16e-4c16e64b393d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,世誠 (bbbb87),493955475,119415,21145,4136,133758,42080,TRUE,TRUE,Chinese,2022
8,https://static-cdn.jtvnw.net/jtv_user_pictures/7d92814e-60ca-467c-bffc-5ea734eb9f2a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,狂暴西南2 (kr1stw),461126850,129390,10935,3563,59386,17470,TRUE,TRUE,Chinese,2022
9,https://static-cdn.jtvnw.net/jtv_user_pictures/uzra-profile_image-e60ae5576fa3fd8a-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Uzra,446368920,233490,14226,1911,231471,8960,TRUE,FALSE,Chinese,2022
10,https://static-cdn.jtvnw.net/jtv_user_pictures/1b64cc8e-cf32-4198-a5e1-96a3b3c96c11-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,kyo1984123,442486530,242595,12609,1824,172374,4911,TRUE,TRUE,Chinese,2022
