,,Channel,Watch time (mins),Stream time (mins),Peak viewers,Average viewers,Followers,Followers gained,Partnered,Mature,Language,Year
1,https://static-cdn.jtvnw.net/jtv_user_pictures/446206f8-0acf-4090-8948-89c09794ccbc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Riot_esports_Korea,3802004100,76245,692626,49865,1384798,270390,TRUE,FALSE,Korean,2022
2,https://static-cdn.jtvnw.net/jtv_user_pictures/c5a2baa2-74ed-4b72-b047-8326572c9bfa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,한동숙 (handongsuk),2820514350,189330,84826,14897,558073,81790,TRUE,FALSE,Korean,2022
3,https://static-cdn.jtvnw.net/jtv_user_pictures/7d354ef2-b2a8-4276-8c12-5be7f6301ae0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,풍월량 (hanryang1125),2544683895,177555,38921,14331,606406,35448,TRUE,FALSE,Korean,2022
4,https://static-cdn.jtvnw.net/jtv_user_pictures/ebc60c08-721b-4572-8f51-8be7136a0c96-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,우왁굳 (woowakgood),2410426410,153030,79470,15751,957397,167286,TRUE,FALSE,Korean,2022
5,https://static-cdn.jtvnw.net/jtv_user_pictures/4720b1b4-16a3-4eed-aac5-fd36ced3b789-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,울프 (lol_woolf),924980580,83280,105866,11106,436982,71697,TRUE,FALSE,Korean,2022
6,https://static-cdn.jtvnw.net/jtv_user_pictures/saddummy-profile_image-925b92caa01026ae-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,서새봄냥 (saddummy),906369210,188670,12890,4804,657679,8510,TRUE,FALSE,Korean,2022
7,https://static-cdn.jtvnw.net/jtv_user_pictures/524c60f5-2adc-4886-8cb0-9ba5c878fe46-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,따효니 (ddahyoni),829756155,176025,23226,4713,364500,11682,TRUE,FALSE,Korean,2022
8,https://static-cdn.jtvnw.net/jtv_user_pictures/59b10cc7-772e-48a9-92df-066e9a35862b-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100,괴물쥐123 (tmxk319),788836170,131745,24282,5987,844285,88918,TRUE,FALSE,Korean,2022
9,https://static-cdn.jtvnw.net/jtv_user_pictures/3ea140c0-bc41-44d0-9651-787fb2b6c029-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,침착맨 (zilioner),768742110,83310,39730,9227,757286,120943,TRUE,FALSE,Korean,2022
10,https://static-cdn.jtvnw.net/jtv_user_pictures/kimdoe-profile_image-354ecea9a42c41e9-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,김도 (kimdoe),753692295,139155,13938,5416,318592,5646,TRUE,TRUE,Korean,2022
