,,Channel,Watch time (mins),Stream time (mins),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Year
1,https://static-cdn.jtvnw.net/jtv_user_pictures/687eca1d-7479-4770-ab2c-fdac418e6c08-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Riot Games (riotgames),6881557020,124005,639375,55493,6547561,1099431,140876443,TRUE,FALSE,English,2019
2,https://static-cdn.jtvnw.net/jtv_user_pictures/82b63a01-628f-4c81-9b05-dd3a5011fdda-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Tfue,5561793255,123705,285644,44959,11376942,3213748,115358446,TRUE,FALSE,English,2019
3,https://static-cdn.jtvnw.net/jtv_user_pictures/8c55fdc6-9b84-4daf-a33b-cb318acbf994-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,OverwatchLeague,4829008335,83940,254493,57528,1771264,583849,107006778,TRUE,FALSE,English,2019
4,https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,ESL_CSGO,4046410380,518220,558083,7807,5970296,873906,113301339,TRUE,FALSE,English,2019
5,https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,summit1g,3878960895,179265,75128,21637,6168124,618619,63336048,TRUE,FALSE,English,2019
6,https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,shroud,3766627230,121605,201232,30973,10456251,2000233,110083050,TRUE,FALSE,English,2019
7,https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,xQc,3704779830,207855,81341,17823,11691616,960790,64429446,TRUE,FALSE,English,2019
8,https://static-cdn.jtvnw.net/jtv_user_pictures/asmongold-profile_image-f7ddcbd0332f5d28-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Asmongold,3416780520,93705,263720,36462,3364117,630693,65636627,TRUE,FALSE,English,2019
9,https://static-cdn.jtvnw.net/jtv_user_pictures/c7aaf7b0-49c7-4dd3-8228-861478bfd435-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Ninja,2877777705,68100,274505,42257,18478816,1953068,84007189,FALSE,FALSE,English,2019
10,https://static-cdn.jtvnw.net/jtv_user_pictures/fc7b15b2-e400-4e74-8c8b-2ad3725e5770-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,sodapoppin,2523638610,96240,113049,26221,8834322,360249,48332466,TRUE,TRUE,English,2019
