,,Channel,Watch time (mins),Stream time (mins),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Year
1,https://static-cdn.jtvnw.net/jtv_user_pictures/underground_dv-profile_image-36cd6cc091577d13-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,達哥 (underground_dv),54509325,23550,7458,2314,162452,5171,2563817,TRUE,FALSE,Chinese (Hong Kong SAR),2021
2,https://static-cdn.jtvnw.net/jtv_user_pictures/58ba2e14-68fb-4d8b-becf-78cc6e3b0e61-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,艾維院 (ankgaminghk),51824160,297675,348,173,18367,534,947657,TRUE,TRUE,Chinese (Hong Kong SAR),2021
3,https://static-cdn.jtvnw.net/jtv_user_pictures/87dbd056-f3d4-451f-ba06-bbe3208a801b-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100,Loui5Ng,38632365,90210,1296,428,52927,1405,1285385,TRUE,FALSE,Chinese (Hong Kong SAR),2021
4,https://static-cdn.jtvnw.net/jtv_user_pictures/aac3c7b6-a7fd-4ef7-b221-e7e54f36c2ca-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,顏色教練 (colour1020),27287430,88830,1415,307,13402,3828,852294,TRUE,FALSE,Chinese (Hong Kong SAR),2021
5,https://static-cdn.jtvnw.net/jtv_user_pictures/7b0b9768-2279-42a0-ac9e-a396ef0562d5-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,卡比獸太子 (saimc720),24467220,66045,1296,370,13345,9355,619911,FALSE,FALSE,Chinese (Hong Kong SAR),2021
6,https://static-cdn.jtvnw.net/jtv_user_pictures/1ae766d1-fcf4-4e42-8760-b3e2e08296ec-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,FedEx0215,18309000,202890,623,90,2047,2046,919907,FALSE,FALSE,Chinese (Hong Kong SAR),2021
7,https://static-cdn.jtvnw.net/jtv_user_pictures/1df940b1-4794-4edb-b638-8a179c94be24-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,匕匕叔 (unclebay),16195530,68940,850,234,17993,12280,485216,FALSE,TRUE,Chinese (Hong Kong SAR),2021
8,https://static-cdn.jtvnw.net/jtv_user_pictures/264e358f-49d6-47c0-9e06-d93113abe539-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,艾怡 (irissiri129),12999975,96840,2741,134,76423,20706,756670,FALSE,FALSE,Chinese (Hong Kong SAR),2021
9,https://static-cdn.jtvnw.net/jtv_user_pictures/chickenwingli-profile_image-9c34cb65e4e441e5-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,Chickenwingli,10790175,51615,1442,209,12777,3323,310937,TRUE,FALSE,Chinese (Hong Kong SAR),2021
10,https://static-cdn.jtvnw.net/jtv_user_pictures/4e682958-0a2c-44c4-8777-bfe5d0dbe6c0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,肥捏 (nepg),10696185,200595,448,53,5506,944,317847,FALSE,TRUE,Chinese (Hong Kong SAR),2021
