,,Channel,Watch time (mins),Stream time (mins),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Year
1,https://static-cdn.jtvnw.net/jtv_user_pictures/e496689c-5e8f-44a6-8733-b3c5b6e17e19-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,蝦愛橘子 (shuteye_orange),1023670050,314670,7989,3253,155363,23804,25314418,TRUE,TRUE,Chinese,2021
2,https://static-cdn.jtvnw.net/jtv_user_pictures/3a0a20f0-b3b1-4c9b-bfa7-baba9dda8d7e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,lolpacifictw,843269265,31575,165491,26706,228226,103152,25274171,TRUE,FALSE,Chinese,2021
3,https://static-cdn.jtvnw.net/jtv_user_pictures/uzra-profile_image-e60ae5576fa3fd8a-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Uzra,788106915,197640,17392,3987,231484,17765,22974244,TRUE,FALSE,Chinese,2021
4,https://static-cdn.jtvnw.net/jtv_user_pictures/relaxing234-profile_image-dca86ad2695fcaac-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,relaxing234,723078030,73590,40687,9825,458171,115119,21005184,TRUE,FALSE,Chinese,2021
5,https://static-cdn.jtvnw.net/jtv_user_pictures/275e30f1-2acb-41dd-b127-8193727cad6f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,老皮 (mobilmobil),660228165,116190,13421,5682,527489,33251,21099618,TRUE,TRUE,Chinese,2021
6,https://static-cdn.jtvnw.net/jtv_user_pictures/45b5c790-93b8-484f-95c0-45d7e1b2993d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,餐餐自由配 (blusewilly_retry),591688605,116490,13358,5079,437702,26588,18288384,TRUE,FALSE,Chinese,2021
7,https://static-cdn.jtvnw.net/jtv_user_pictures/17be194f-2fba-4c43-95b3-bf9402a94e31-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,木棉花官方頻道 (muse_tw),588223560,515340,10047,1141,228732,79624,12996294,TRUE,FALSE,Chinese,2021
8,https://static-cdn.jtvnw.net/jtv_user_pictures/godjj-profile_image-73e3a1dc1807a3ec-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,接接 (godjj),572668710,124350,12602,4605,366117,19614,17707027,TRUE,FALSE,Chinese,2021
9,https://static-cdn.jtvnw.net/jtv_user_pictures/0306e30f-e578-4d40-a015-ad419cd323c9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,嬌兔 (zrush),537116835,134940,12887,3980,252002,29792,16087355,TRUE,TRUE,Chinese,2021
10,https://static-cdn.jtvnw.net/jtv_user_pictures/2f049f01-d774-46b5-ac1f-b034c73964eb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,依渟 (et_1231),457836555,138210,15511,3312,351743,220275,20186145,TRUE,FALSE,Chinese,2021
