,,Channel,Watch time (mins),Stream time (mins),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Year
1,https://static-cdn.jtvnw.net/jtv_user_pictures/446206f8-0acf-4090-8948-89c09794ccbc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Riot_esports_Korea,4623406935,73125,628851,63226,1384798,395494,153079797,TRUE,FALSE,Korean,2021
2,https://static-cdn.jtvnw.net/jtv_user_pictures/7d354ef2-b2a8-4276-8c12-5be7f6301ae0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,풍월량 (hanryang1125),2546404410,175785,27919,14486,606512,38648,34186765,TRUE,FALSE,Korean,2021
3,https://static-cdn.jtvnw.net/jtv_user_pictures/c5a2baa2-74ed-4b72-b047-8326572c9bfa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,한동숙 (handongsuk),2200120530,180330,46499,12200,558174,60813,39334121,TRUE,FALSE,Korean,2021
4,https://static-cdn.jtvnw.net/jtv_user_pictures/saddummy-profile_image-925b92caa01026ae-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,서새봄냥 (saddummy),1238240130,213060,25540,5811,657765,44824,29175219,TRUE,FALSE,Korean,2021
5,https://static-cdn.jtvnw.net/jtv_user_pictures/ebc60c08-721b-4572-8f51-8be7136a0c96-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,우왁굳 (woowakgood),912260370,152250,29008,5991,957646,114785,19717149,TRUE,FALSE,Korean,2021
6,https://static-cdn.jtvnw.net/jtv_user_pictures/524c60f5-2adc-4886-8cb0-9ba5c878fe46-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,따효니 (ddahyoni),886933755,189900,18326,4670,364491,15312,22579204,TRUE,FALSE,Korean,2021
7,https://static-cdn.jtvnw.net/jtv_user_pictures/59b10cc7-772e-48a9-92df-066e9a35862b-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100,괴물쥐123 (tmxk319),863456805,133650,43358,6460,844285,192725,22330764,TRUE,FALSE,Korean,2021
8,https://static-cdn.jtvnw.net/jtv_user_pictures/9c692e90-6f4f-4585-a3f3-f8610dfbf237-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,녹두로 (nokduro),744412695,145845,15492,5104,271411,34928,12092607,TRUE,FALSE,Korean,2021
9,https://static-cdn.jtvnw.net/jtv_user_pictures/kimdoe-profile_image-354ecea9a42c41e9-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,김도 (kimdoe),734948775,148605,16612,4945,318592,17330,14527213,TRUE,TRUE,Korean,2021
10,https://static-cdn.jtvnw.net/jtv_user_pictures/98bb53c3-4e2f-47f3-9c4b-6c0484b383f6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,파카9999 (paka9999),718187085,81105,47236,8854,436803,210363,15938084,TRUE,FALSE,Korean,2021
