,,Channel,Watch time (mins),Stream time (mins),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Year
1,https://static-cdn.jtvnw.net/jtv_user_pictures/f4b12683-57ff-4b57-926a-67512b43a7ff-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Gaules,9926862510,516780,340771,19209,3848006,928280,148219469,TRUE,TRUE,Portuguese,2021
2,https://static-cdn.jtvnw.net/jtv_user_pictures/c07acddc-1e1b-479f-97c4-09636f80e857-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,loud_coringa,5944157520,94230,308169,63081,4063589,1839822,37697858,TRUE,FALSE,Portuguese,2021
3,https://static-cdn.jtvnw.net/jtv_user_pictures/64d44235-1dee-4bca-95da-bee1ee96eea3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,alanzoka,2186961825,99810,65003,21911,6318416,1074250,48977918,TRUE,FALSE,Portuguese,2021
4,https://static-cdn.jtvnw.net/jtv_user_pictures/8293c341-9a4a-4052-98b4-049781ae2cc0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,CBLOL,2112513690,53250,281184,39671,1560890,291366,39188448,TRUE,FALSE,Portuguese,2021
5,https://static-cdn.jtvnw.net/jtv_user_pictures/e5e89aba-723b-4ba1-852c-d8fba19b1da1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,YoDa,2080927410,138720,83059,15000,2399683,245210,42845606,TRUE,FALSE,Portuguese,2021
6,https://static-cdn.jtvnw.net/jtv_user_pictures/32805a78-d927-48bd-8089-bf5efed53ea4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,casimito,1855929300,110130,100322,16852,3524616,1089090,19880026,TRUE,TRUE,Portuguese,2021
7,https://static-cdn.jtvnw.net/jtv_user_pictures/0595cdd0-65a7-4fa3-996d-323cf3a54be1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Cellbit,1296529695,69330,130933,18700,2632315,280775,27593651,TRUE,TRUE,Portuguese,2021
8,https://static-cdn.jtvnw.net/jtv_user_pictures/ec5ec8ec-94ec-4a6c-af54-e2ba0bb6edfc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Baiano,1246258620,77805,110236,16017,826567,203154,26305746,TRUE,TRUE,Portuguese,2021
9,https://static-cdn.jtvnw.net/jtv_user_pictures/41db2352-66da-489d-a058-c9349db3c830-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,mount,1155417825,196950,37291,5866,828332,255114,19103226,TRUE,FALSE,Portuguese,2021
10,https://static-cdn.jtvnw.net/jtv_user_pictures/2860bc62-377d-40da-918b-470b2afe08e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,NOBRU,1026497505,79365,156640,12933,3718864,1009715,9390073,TRUE,FALSE,Portuguese,2021
