"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/c7aaf7b0-49c7-4dd3-8228-861478bfd435-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Ninja","14051438610","180795","617767","77719","18478816","11889827","351381172","false","false","English","Ninja"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/687eca1d-7479-4770-ab2c-fdac418e6c08-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Riot Games (riotgames)","6250856340","113415","573235","55114","6547561","640558","136591918","true","false","English","Riot Games (riotgames)"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","shroud","6135326190","183285","149632","33473","10455584","3078868","170758983","true","false","English","shroud"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/8c55fdc6-9b84-4daf-a33b-cb318acbf994-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","OverwatchLeague","3995519550","41250","370799","96860","1771264","1184822","129804554","true","false","English","OverwatchLeague"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/fc7b15b2-e400-4e74-8c8b-2ad3725e5770-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","sodapoppin","3333731175","133260","91226","25016","8833961","591188","69271944","true","true","English","sodapoppin"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/ea2a756e-32e4-4db3-9386-646433d16b5b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Dakotaz","3136873860","154500","113990","20302","4662493","2846292","62605589","true","false","English","Dakotaz"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/82b63a01-628f-4c81-9b05-dd3a5011fdda-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Tfue","2999618985","114615","152683","26170","11373685","4058923","66490818","true","false","English","Tfue"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/38e925fc-0b07-4e1e-82e2-6639e01344f3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LIRIK","2763682620","115110","73865","24008","2923310","352401","58698393","true","false","English","LIRIK"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","summit1g","2666396670","149310","92918","17857","6167952","880890","65676979","true","false","English","summit1g"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/eleaguetv-profile_image-3944326c25ed471d-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","ELEAGUE TV (eleaguetv)","2615982390","27630","1065148","94678","1610655","545925","55241084","true","false","English","ELEAGUE TV (eleaguetv)"
