"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Fortnite","81482934840","4774106760","1460297","34564","4058092","155046","9084","17.07",""
"2","","League of Legends","59122841100","1114259940","1147825","4981","768957","112499","2120","53.06",""
"3","","PUBG: BATTLEGROUNDS","27249424560","1058021220","579861","6473","855370","51850","2013","25.76",""
"4","","Overwatch","18107483340","677873280","461851","3111","707558","34455","1289","26.71",""
"5","","World of Warcraft","15614097300","543406140","590245","15619","286541","29710","1033","28.73",""
"6","","Counter-Strike: Global Offensive","24106519440","521227980","1298358","3173","680351","45869","991","46.25",""
"7","","Tom Clancy's Rainbow Six Siege","6929861340","463437720","253151","2490","677147","13186","881","14.95",""
"8","","Destiny 2","4211079600","322508760","181929","8097","324038","8012","613","13.06",""
"9","","Dota 2","28344889140","308675820","749471","1473","185617","53934","587","91.83",""
"10","","IRL","20782208160","297429540","264068","1664","500692","39544","565","69.87",""
