"","","Game","Change watch time (mins)","Change stream time (mins)","Change peak viewers","Change peak channels","Change streamers","Change average viewers","Change average channels","Change average viewer ratio",""
"1","","Fortnite","1371530040","45364500","24515","260","68682","2610","87","-17.05",""
"2","","Counter-Strike: Global Offensive","867267840","18672360","-5363","137","27108","1650","36","-35.85",""
"3","","Grand Theft Auto V","635159700","5890740","44208","37","9168","1209","11","44.81",""
"4","","IRL","494051340","3717960","-50727","32","15871","940","8","-76.05",""
"5","","Just Chatting","362344500","2103000","49737","67","7976","689","4","172.3",""
"6","","Sea of Thieves","262340880","1191660","63542","79","3170","499","2","208.14",""
"7","","Tom Clancy's Rainbow Six Siege","235091580","5650920","12669","42","10667","448","11","-16.72",""
"8","","FIFA 19","186673800","2626500","5981","66","5018","355","4","71.07",""
"9","","Tibia","180850020","8858880","-597","46","4353","344","16","-3.84",""
"10","","ARK: Survival Evolved","175122600","768540","31863","11","1061","333","2","127.83",""
