"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","xQc","8847081540","215010","222720","41146","11687934","5364951","132751155","true","false","English","xQc"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/bf1d52e3-b46b-4c07-9b4f-a1ab8c4e40f8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","auronplay","4053369015","51630","191742","78507","15003944","5101415","75975467","true","false","Spanish","auronplay"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Rubius","3758366400","66900","344676","56178","13868967","4687367","87615652","true","false","Spanish","Rubius"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/ricegum-profile_image-f71f2c4fb046645a-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","RiceGum","228058680","20400","29173","11178","1202318","4563474","3849036","true","false","English","RiceGum"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/de4cee58-aee7-400d-b823-32aa7a1d3235-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TheGrefg","2797431870","71850","538444","38933","11218039","4208983","71129838","true","false","Spanish","TheGrefg"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ibai","4091684295","95700","533239","42754","12889627","4106694","114612647","true","false","Spanish","ibai"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/e4c8d60e-a8d2-4c67-ab1b-b9a985bd10b7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","NeonSniperPanda","1568490","51495","549","29","1623290","3367707","38563","true","false","English","NeonSniperPanda"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/fc7b15b2-e400-4e74-8c8b-2ad3725e5770-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","sodapoppin","3136184805","158025","107432","19845","8833961","3359738","45684665","true","true","English","sodapoppin"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/6cd4de40-1a83-46c7-aea5-3bd73f90e7e4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","pokimane","1394253495","62610","112160","22268","9304578","3181718","60372864","true","false","English","pokimane"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/7d462614-fd45-405c-a0d7-f628f68549e5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","SLAKUN10","272804535","13485","70538","20229","4657842","2840230","10824371","true","false","Spanish","SLAKUN10"
