"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","xQc","8847081540","215010","222720","41146","11687934","5364951","132751155","true","false","English","xQc"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/f4b12683-57ff-4b57-926a-67512b43a7ff-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Gaules","7720563330","517155","387315","14928","3847044","1416066","136956383","true","true","Portuguese","Gaules"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","summit1g","6505033950","221550","310998","29361","6167952","1696810","94561929","true","false","English","summit1g"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","ESL_CSGO","4786942590","518580","300575","9230","5966750","892718","128514894","true","false","English","ESL_CSGO"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/b3c347ed-1a7a-40a2-8bee-8a7c4426eb33-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","NICKMERCS","4406970885","127065","163241","34682","6658564","1691981","54622518","true","false","English","NICKMERCS"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","loltyler1","4096418850","143265","105499","28593","5177574","1059740","67469321","true","false","English","loltyler1"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ibai","4091684295","95700","533239","42754","12889627","4106694","114612647","true","false","Spanish","ibai"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/bf1d52e3-b46b-4c07-9b4f-a1ab8c4e40f8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","auronplay","4053369015","51630","191742","78507","15003944","5101415","75975467","true","false","Spanish","auronplay"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/a28b0d37-81d0-415a-8ed8-1a1f998ea26d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Fextralife","4009993485","175785","68795","22811","1480893","445534","720291870","true","false","English","Fextralife"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Rubius","3758366400","66900","344676","56178","13868967","4687367","87615652","true","false","Spanish","Rubius"
