"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/7d354ef2-b2a8-4276-8c12-5be7f6301ae0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","풍월량 (hanryang1125)","2371413705","176595","44351","13428","606406","90603","38630141","true","false","Korean","풍월량 (hanryang1125)"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/446206f8-0acf-4090-8948-89c09794ccbc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Riot_esports_Korea","2299170720","49080","349104","46844","1384798","312613","86182524","true","false","Korean","Riot_esports_Korea"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/c5a2baa2-74ed-4b72-b047-8326572c9bfa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","한동숙 (handongsuk)","1549398615","137820","34442","11241","558073","32721","31415487","true","false","Korean","한동숙 (handongsuk)"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/saddummy-profile_image-925b92caa01026ae-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","서새봄냥 (saddummy)","1202649615","190965","35474","6297","657679","63540","33168615","true","false","Korean","서새봄냥 (saddummy)"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/59b10cc7-772e-48a9-92df-066e9a35862b-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","괴물쥐123 (tmxk319)","1004775315","127710","71933","7867","844285","377402","22513535","true","false","Korean","괴물쥐123 (tmxk319)"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/524c60f5-2adc-4886-8cb0-9ba5c878fe46-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","따효니 (ddahyoni)","814193745","157890","22514","5156","364500","50059","21117784","true","false","Korean","따효니 (ddahyoni)"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/3ea140c0-bc41-44d0-9651-787fb2b6c029-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","침착맨 (zilioner)","800185215","100485","43164","7962","757286","132055","25853345","true","false","Korean","침착맨 (zilioner)"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/9c692e90-6f4f-4585-a3f3-f8610dfbf237-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","녹두로 (nokduro)","774409620","152040","23890","5093","271411","106565","13977927","true","false","Korean","녹두로 (nokduro)"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/ebc60c08-721b-4572-8f51-8be7136a0c96-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","우왁굳 (woowakgood)","732657855","159015","15918","4607","957397","200007","21157412","true","false","Korean","우왁굳 (woowakgood)"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/d48767c9-fef7-48cf-9e10-e3baffefbb19-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","김진우 (jinu6734)","650282265","126960","13825","5121","334955","84138","11074020","false","false","Korean","김진우 (jinu6734)"
