"","","Game","Change watch time (mins)","Change stream time (mins)","Change peak viewers","Change peak channels","Change streamers","Change average viewers","Change average channels","Change average viewer ratio",""
"1","","Just Chatting","3621226920","73602540","66637","938","22535","6838","139","-12.2",""
"2","","League of Legends","2522775600","16984860","102899","-36","14198","4737","32","8.11",""
"3","","Dead by Daylight","974234280","6334980","32871","46","2673","1846","12","33.72",""
"4","","VALORANT","949991220","33370380","57233","601","23561","1802","63","28.47",""
"5","","MapleStory","822666660","9659580","6906","80","6549","1560","18","30.32",""
"6","","Eternal Return","819834120","9416940","79989","332","10779","1556","17","71.28",""
"7","","Escape from Tarkov","719946540","11341380","25984","115","3869","1367","21","48.58",""
"8","","Animal Crossing: New Horizons","617263680","5345520","76376","281","3546","1171","10","115.47",""
"9","","Lost Ark","510598260","-768960","24935","-40","-262","967","-2","57.91",""
"10","","Hearthstone","510007200","-327780","19090","-42","-1826","959","0","77.84",""
