,,Channel,Watch time (mins),Stream time (mins),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Year
1,https://static-cdn.jtvnw.net/jtv_user_pictures/uzra-profile_image-e60ae5576fa3fd8a-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Uzra,925532895,195825,14181,4725,231471,42313,23633563,TRUE,FALSE,Chinese,2020
2,https://static-cdn.jtvnw.net/jtv_user_pictures/e496689c-5e8f-44a6-8733-b3c5b6e17e19-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,蝦愛橘子 (shuteye_orange),752274480,309690,8312,2428,155363,21390,17972552,TRUE,TRUE,Chinese,2020
3,https://static-cdn.jtvnw.net/jtv_user_pictures/275e30f1-2acb-41dd-b127-8193727cad6f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,老皮 (mobilmobil),649130445,117315,16497,5532,527422,31995,21334653,TRUE,TRUE,Chinese,2020
4,https://static-cdn.jtvnw.net/jtv_user_pictures/relaxing234-profile_image-dca86ad2695fcaac-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,relaxing234,641065155,66765,21140,9601,458171,100795,17806643,TRUE,FALSE,Chinese,2020
5,https://static-cdn.jtvnw.net/jtv_user_pictures/45b5c790-93b8-484f-95c0-45d7e1b2993d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,餐餐自由配 (blusewilly_retry),625309395,100695,17585,6209,437688,38538,18944769,TRUE,FALSE,Chinese,2020
6,https://static-cdn.jtvnw.net/jtv_user_pictures/b7304e11-2c97-4e04-b1a2-f820fe7d0549-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,狂暴小建 (a541021),585396300,171285,9312,3417,220965,17639,20564824,TRUE,TRUE,Chinese,2020
7,https://static-cdn.jtvnw.net/jtv_user_pictures/godjj-profile_image-73e3a1dc1807a3ec-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,接接 (godjj),566776440,121965,12461,4646,366098,17480,20045990,TRUE,FALSE,Chinese,2020
8,https://static-cdn.jtvnw.net/jtv_user_pictures/17be194f-2fba-4c43-95b3-bf9402a94e31-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,木棉花官方頻道 (muse_tw),522457770,515295,16702,1013,228732,50275,11060263,TRUE,FALSE,Chinese,2020
9,https://static-cdn.jtvnw.net/jtv_user_pictures/0306e30f-e578-4d40-a015-ad419cd323c9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,嬌兔 (zrush),518979720,140775,10628,3686,251960,45330,15458734,TRUE,TRUE,Chinese,2020
10,https://static-cdn.jtvnw.net/jtv_user_pictures/xargon0731-profile_image-4eda4dc86e93e0e0-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,殺梗 (xargon0731),425712120,150195,8406,2833,323362,20245,18747407,TRUE,FALSE,Chinese,2020
