"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Partnered","Mature","Language",""
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/fc7b15b2-e400-4e74-8c8b-2ad3725e5770-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","sodapoppin","1750915005","96885","68378","18071","8833961","5640199","true","true","English","sodapoppin"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/d4885242-febf-4a11-a42a-a0ad52474ee2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ElSpreen","2970998325","64200","188812","46277","7378969","3965503","true","false","Spanish","ElSpreen"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/74586414-e27b-4347-89c5-109e42ac3e1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","juansguarnizo","3175801020","103770","282341","30604","10291224","3383179","true","false","Spanish","juansguarnizo"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/0107210e-a98c-409d-92a6-1caf70bb3953-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ElMariana","2368426200","61500","125423","38511","7099848","3367987","true","false","Spanish","ElMariana"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ibai","6622283580","81210","3351678","81545","12889627","3350413","true","false","Spanish","ibai"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/bf1d52e3-b46b-4c07-9b4f-a1ab8c4e40f8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","auronplay","6128539575","68340","457641","89677","15003944","3265720","true","false","Spanish","auronplay"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/1d8cd548-04fa-49fb-bfcd-f222f73482b6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","KaiCenat","4063794135","83280","283245","48796","4760846","2664292","true","false","English","KaiCenat"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Rubius","3553116465","99165","372079","35830","13868967","2655537","true","false","Spanish","Rubius"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/a71759f1-11c4-4b0d-bec5-35a480b34958-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","AriGameplays","451597245","61665","128471","7323","5938941","2498639","true","false","Spanish","AriGameplays"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/0e6f8782-d5b9-4a51-ae8a-9c952c213487-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","rivers_gg","770016405","71895","67309","10710","3353259","2150027","true","false","Spanish","rivers_gg"
