"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","188346672480","2127292920","2309980","10463","3023620","358386","4047","88.54",""
"2","","League of Legends","93401976720","1677126840","3145012","8924","1099549","177725","3191","55.69",""
"3","","Grand Theft Auto V","84857222520","1432075440","727079","6992","1577887","161466","2724","59.25",""
"4","","VALORANT","69586121040","2588534580","1197406","13550","1837811","132408","4925","26.88",""
"5","","Counter-Strike: Global Offensive","41987036940","593396340","1687805","2748","753916","79893","1129","70.76",""
"6","","Apex Legends","39508657020","2387643180","559133","13296","1918841","75177","4543","16.55",""
"7","","Fortnite","37248402060","2634680700","1024567","60854","4009545","70876","5013","14.14",""
"8","","Minecraft","32865211740","1190426940","2189881","6347","2324663","62536","2265","27.61",""
"9","","Dota 2","31935192900","452403720","1037857","2353","238175","60766","860","70.59",""
"10","","Call of Duty: Warzone","26298360600","1440771120","618010","12842","1071785","50040","2741","18.25",""
