"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Partnered","Mature","Language",""
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/underground_dv-profile_image-36cd6cc091577d13-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","達哥 (underground_dv)","114394620","39390","7795","2904","162452","9993","true","false","Chinese (Hong Kong SAR)","達哥 (underground_dv)"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/87dbd056-f3d4-451f-ba06-bbe3208a801b-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Loui5Ng","68155620","124620","1620","546","52911","2636","true","false","Chinese (Hong Kong SAR)","Loui5Ng"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/aac3c7b6-a7fd-4ef7-b221-e7e54f36c2ca-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","顏色教練 (colour1020)","47777865","140010","1878","341","13402","5547","true","false","Chinese (Hong Kong SAR)","顏色教練 (colour1020)"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/7b0b9768-2279-42a0-ac9e-a396ef0562d5-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","卡比獸太子 (saimc720)","32686815","139080","971","234","13342","2771","false","false","Chinese (Hong Kong SAR)","卡比獸太子 (saimc720)"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/264e358f-49d6-47c0-9e06-d93113abe539-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","艾怡 (irissiri129)","31622505","109995","3176","287","76139","29812","false","false","Chinese (Hong Kong SAR)","艾怡 (irissiri129)"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/58ba2e14-68fb-4d8b-becf-78cc6e3b0e61-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","艾維院 (ankgaminghk)","31348575","237660","356","131","18368","63","true","true","Chinese (Hong Kong SAR)","艾維院 (ankgaminghk)"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/1df940b1-4794-4edb-b638-8a179c94be24-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","匕匕叔 (unclebay)","21266445","82305","937","258","17986","4510","false","true","Chinese (Hong Kong SAR)","匕匕叔 (unclebay)"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/chickenwingli-profile_image-9c34cb65e4e441e5-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","Chickenwingli","15743055","45615","1170","345","12757","7111","true","false","Chinese (Hong Kong SAR)","Chickenwingli"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/0b21d69f-cfb9-42aa-a40b-fd3652db4aaa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","多莉多莉 (yeung_sonson)","14817015","62505","1062","237","9860","4594","true","false","Chinese (Hong Kong SAR)","多莉多莉 (yeung_sonson)"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/89bd8522-dda1-4e5a-9f69-7eadbcb55d1a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","梓澪與村長 (s201111)","13236330","78075","2515","169","35109","20366","true","true","Chinese (Hong Kong SAR)","梓澪與村長 (s201111)"
