"","","Game","Change watch time (mins)","Change stream time (mins)","Change peak viewers","Change peak channels","Change streamers","Change average viewers","Change average channels","Change average viewer ratio",""
"1","","Lost Ark","10242291660","152137800","597555","5404","118887","19489","290","-12.92",""
"2","","ELDEN RING","9933226560","496667400","282531","16075","571987","18901","945","-650.82",""
"3","","Overwatch 2","8715853800","272788800","385525","7598","494047","16585","519","22.22",""
"4","","Slots","4433351940","6421800","66367","23","2777","8436","12","27.55",""
"5","","Call of Duty: Modern Warfare II","4250674860","460675980","424137","19870","731138","8088","876","9.23",""
"6","","World of Warcraft","2596629540","104614200","268925","4006","-4576","4941","199","-10.65",""
"7","","VALORANT","2357499060","486150780","-128209","2160","186196","4486","925","-19",""
"8","","FIFA 23","2176618140","57510420","191872","1835","156040","4141","109","37.85",""
"9","","Counter-Strike: Global Offensive","1833225360","51355140","-6239","78","7451","3488","98","-51.2",""
"10","","Pools, Hot Tubs, and Beaches","1765974600","13799820","3064","-34","7870","3360","26","-0.75",""
