,,Game,Change watch time (mins),Change stream time (mins),Change peak viewers,Change peak channels,Change streamers,Change average viewers,Change average channels,Change average viewer ratio,Year,Language
1,,League of Legends,3060,2700,5,1,1,0,0,1.13,2022,Portuguese (Brazil)
2,,Tibia,1920,420,23,1,0,0,0,4.57,2022,Portuguese (Brazil)
3,,CABAL Online,1680,240,16,1,0,0,0,7,2022,Portuguese (Brazil)
4,,Music,1620,420,7,1,0,0,0,3.86,2022,Portuguese (Brazil)
5,,Sports,1440,180,35,1,1,0,0,8,2022,Portuguese (Brazil)
6,,VALORANT,1320,1140,5,1,0,0,0,1.16,2022,Portuguese (Brazil)
7,,Counter-Strike: Global Offensive,1140,900,4,1,0,0,0,1.27,2022,Portuguese (Brazil)
8,,World of Warcraft,960,600,7,1,0,0,0,1.6,2022,Portuguese (Brazil)
9,,Just Chatting,960,960,3,1,0,0,0,1,2022,Portuguese (Brazil)
10,,Fortnite,840,660,3,1,0,0,0,1.27,2022,Portuguese (Brazil)
