,Game,Hours Watch,Streamed Time,Peak of Viewers,Peak of Channel Stremings,Channels,Average of viewers,Avg of Channels,AVG Viewer/Ratio,Followers gained,Views gained
1,Just Chatting,4101515460,50055060,858034,7845,205817,406896,4965,81.94,12944749,109916859
2,Fortnite,1278547260,88766460,307332,15268,257420,126840,8806,14.4,8819601,37680515
3,Grand Theft Auto V,2819265300,35136900,1105818,6750,78977,279689,3485,80.24,6171814,48358449
4,Minecraft,1355807460,47200200,476368,8863,164505,134504,4682,28.72,5797253,20667664
5,VALORANT,1212510840,48312840,283629,7889,135234,120288,4792,25.1,3721168,32194275
6,Counter-Strike: Global Offensive,1051246500,20857440,421485,4035,64574,104290,2069,50.4,1985428,30816630
7,League of Legends,2338794300,49795140,779866,7566,114716,232023,4939,46.97,1452436,48441385
8,Call of Duty: Warzone,1209657300,49251840,270051,8896,101404,120005,4886,24.56,1391541,16906650
9,Rocket League,430340760,18603300,214487,3702,99249,42692,1845,23.13,1134723,6835398
10,Roblox,31864500,5263680,34074,861,19874,3161,522,6.05,827970,669024
11,Apex Legends,779513220,51674460,159319,7853,127109,77332,5126,15.09,737525,14376528
12,Garena Free Fire,189579300,4919280,137321,962,11449,18807,488,38.54,700566,4004332
13,Old School RuneScape,61109520,1737240,14309,272,3108,6062,172,35.18,556170,885459
14,FIFA 21,448518060,12534600,141171,3466,40187,44495,1243,35.78,524979,7282739
15,Dead by Daylight,307369320,17267100,126113,2753,45602,30492,1713,17.8,475503,4721233
16,Among Us,260405580,5174460,140715,1387,29304,25833,513,50.33,465664,4876342
17,Tom Clancy's Rainbow Six Siege,371651460,16279080,116781,3023,54528,36870,1614,22.83,437864,6295921
18,Call Of Duty: Modern Warfare,159310440,63735360,31000,11250,140760,15804,6322,2.5,414411,1655373
19,Music,325921320,13968120,86731,2807,28306,32333,1385,23.33,381208,12086835
20,Krunker,43130220,641820,10114,129,2522,4278,63,67.2,301398,2055074
21,Art,145874700,9094740,50245,1415,28519,14471,902,16.04,291001,3179424
22,Slots,258647400,1716600,62824,277,2264,25659,170,150.67,289552,2491182
23,ASMR,114089340,1491540,26137,196,2075,11318,147,76.49,264128,2195108
24,NBA 2K21,104648700,9579420,42572,1944,25582,10381,950,10.92,253794,2468769
25,Rust,184172100,4475280,55794,805,9137,18271,443,41.15,249225,3359567
26,VRChat,48822180,1498680,28995,406,4641,4843,148,32.58,242488,704839
27,Escape from Tarkov,392346780,12480240,159513,1898,19906,38923,1238,31.44,225724,6915840
28,Overwatch,179425980,12478800,40409,2220,37824,17800,1237,14.38,224263,3169061
29,Call of Duty: Black Ops Cold War,85514220,10738740,29665,1953,33156,8483,1065,7.96,216184,1451406
30,Sea of Thieves,171092400,5754240,125319,1223,15833,16973,570,29.73,214840,2298110
31,Grand Theft Auto: San Andreas,6630540,612060,5160,114,2302,657,60,10.83,206741,135776
32,Chess,221999280,1423260,163548,271,5073,22023,141,155.98,204056,15937991
33,Genshin Impact,133611840,7126920,57079,1539,22823,13255,707,18.75,191059,2215389
34,Point Blank,611640,77220,1105,22,249,60,7,7.92,190257,12171
35,RuneScape,23749500,663240,8630,101,1327,2356,65,35.81,168565,306895
36,Fall Guys: Ultimate Knockout,53742360,3410220,47451,650,18671,5331,338,15.76,154327,1174354
37,osu!,36101820,3471900,15031,550,16742,3581,344,10.4,143119,778010
38,It Takes Two,255118920,4844520,227571,1034,16623,25309,480,52.66,139778,4993115
39,Gartic Phone,80366400,1216800,78397,449,10459,7972,120,66.05,135656,1548194
40,Dota 2,529441080,9592440,144937,1658,14965,52523,951,55.19,132289,12176445
41,DayZ,49829280,2942460,13178,554,5490,4943,291,16.93,120968,757488
42,Euro Truck Simulator 2,46805040,2655240,56965,839,7644,4643,263,17.63,119921,1068634
43,PLAYERUNKNOWN'S BATTLEGROUNDS,181702740,8741940,84101,1398,17228,18026,867,20.79,117391,5779930
44,Phasmophobia,56485140,5043720,48681,1213,24632,5603,500,11.2,115573,996954
45,Yu-Gi-Oh! Duel Links,10784700,369120,4821,68,1089,1069,36,29.22,103659,228965
46,DOOM Eternal,6814680,815940,3806,158,3004,676,80,8.35,101640,121835
47,Resident Evil 5,1835640,243720,772,52,1026,182,24,7.53,99648,24637
48,Destiny 2,87637380,7548180,30562,1493,17070,8694,748,11.61,93483,1082209
49,Sports,146005260,1293360,150002,417,4526,14484,128,112.89,91195,8902384
50,Wizard101,92400,26280,71,11,112,9,2,3.52,84528,844
51,Brawl Stars,21721260,1809060,13505,307,6467,2154,179,12.01,83710,733199
52,Call of Duty: Mobile,18312600,2715180,8233,455,7288,1816,269,6.74,82389,453190
