platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type
twitch,riotgames,Riot Games,36029255,10347268,451088,140144,4430,63633,18089295,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/687eca1d-7479-4770-ab2c-fdac418e6c08-profile_image-300x300.png,,en,partner,Organization
twitch,fextralife,Fextralife,156037856,4709216,92467,46435,6085,48484,7947278,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/a28b0d37-81d0-415a-8ed8-1a1f998ea26d-profile_image-300x300.png,,en,partner,Organization
twitch,gaules,Gaules,181077473,3891316,366056,23186,10070,16190,8666948,Counter-Strike: Global Offensive,https://static-cdn.jtvnw.net/jtv_user_pictures/f4b12683-57ff-4b57-926a-67512b43a7ff-profile_image-300x300.png,BR,pt,partner,Male
twitch,pgl_dota2,PGL_Dota2,87056709,3839088,155951,65254,3530,34726,14999932,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/356322d8-9ed7-463b-bc36-7798a03bacbe-profile_image-300x300.png,RO,en,partner,Organization
twitch,otplol_,otplol_,622498423,2750139,111180,16371,10080,5465,3935568,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/787bd9dd-9367-45ed-a44d-d755427549b8-profile_image-300x300.png,FR,fr,partner,Organization
twitch,xqc,xQc,71092938,2602644,113230,79877,1955,36001,6783454,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-300x300.jpeg,CA,en,partner,Male
twitch,nix,Nix,67708794,2155658,106771,47552,2720,22385,7443985,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/c8ff98b9-b235-47c1-8079-ad10f5099dc2-profile_image-300x300.png,RU,ru,partner,Male
twitch,lvpes,LVPes,22346597,2070739,118126,29132,4265,8642,4242831,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/lvpes-profile_image-b9a288b926641fe4-300x300.png,ES,es,partner,Organization
twitch,kaicenat,KaiCenat,641972806,1933624,140958,65733,1765,76094,7996715,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/1d8cd548-04fa-49fb-bfcd-f222f73482b6-profile_image-300x300.png,US,en,partner,Male
twitch,illojuan,IlloJuan,90075649,1883237,85495,61079,1850,25395,5319594,Pokémon Community Game,https://static-cdn.jtvnw.net/jtv_user_pictures/37454f0e-581b-42ba-b95b-416f3113fd37-profile_image-300x300.png,ES,es,partner,Male
twitch,lck_korea,LCK_Korea,190835892,1828616,131451,48122,2280,4681,6340692,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/7a701887-d5fa-4ee8-b277-766d37d3df4b-profile_image-300x300.png,KR,ko,partner,Organization
twitch,auronplay,auronplay,459331509,1776672,108916,77528,1375,34144,7104164,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/ec898e4a-e0df-4dc0-a99d-7540c6dbe1e8-profile_image-300x300.png,ES,es,partner,Male
twitch,pgl_dota2en2,PGL_DOTA2EN2,194701696,1652477,96051,36319,2730,24367,5301720,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/688a6429-24da-42cf-9b10-44894012de37-profile_image-300x300.png,RO,en,partner,Organization
twitch,eliasn97,eliasn97,238813810,1644118,125900,36809,2680,10296,1098201,FIFA 23,https://static-cdn.jtvnw.net/jtv_user_pictures/4fb94c7a-b4c0-4ed1-9782-b630a59915d5-profile_image-300x300.png,DE,de,partner,Male
twitch,adinross,AdinRoss,59299632,1599945,129020,67604,1420,58049,5646817,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/10c197cb-295f-4d40-8a6c-26a0a5da22ee-profile_image-300x300.png,US,en,partner,Male
twitch,fps_shaka,fps_shaka,49207184,1589426,36278,18045,5285,3524,3874476,Omega Strikers,https://static-cdn.jtvnw.net/jtv_user_pictures/61f568bf-884b-4126-b17c-fc525c6d3bd4-profile_image-300x300.png,JP,ja,partner,Male
twitch,betboom_ru,betboom_ru,129339704,1571742,72825,27022,3490,19819,6303083,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/8b30d809-483a-476c-a012-3da78cb8e1a5-profile_image-300x300.png,RU,ru,partner,Organization
twitch,lla,LLA,142055874,1561994,79715,42504,2205,8603,1812941,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/2944bdb8-bbd5-4cfc-9aa6-429a2d0b6789-profile_image-300x300.jpeg,,es,partner,Organization
twitch,hasanabi,HasanAbi,207813352,1433332,76110,30825,2790,11240,4499230,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-300x300.jpeg,US,en,partner,Male
