Year,Game,Change watch time (mins),Change stream time (mins),Change average channels,Change average viewers,Language
2018.0,Music,1448418240.0,1932780.0,4.0,2756.0,Chinese
2018.0,Just Chatting,429188280.0,3239940.0,6.0,816.0,Chinese
2018.0,Dead by Daylight,348180120.0,2571060.0,5.0,663.0,Chinese
2018.0,IRL,337804500.0,5151480.0,9.0,642.0,Chinese
2018.0,Monster Hunter: World,322541580.0,11858160.0,22.0,614.0,Chinese
2018.0,Hearthstone,189505800.0,560640.0,1.0,361.0,Chinese
2018.0,Always On,164936040.0,102360.0,0.0,313.0,Chinese
2018.0,Tom Clancy's Rainbow Six Siege,132156840.0,3729960.0,7.0,251.0,Chinese
2018.0,"Pokémon: Let's Go, Pikachu!",130949700.0,457380.0,0.0,249.0,Chinese
2018.0,Fortnite,128552820.0,2641620.0,5.0,244.0,Chinese
2018.0,Fortnite,54035333280.0,2402532060.0,4572.0,102819.0,English
2018.0,Call of Duty: Black Ops 4,6422336340.0,238609200.0,454.0,12220.0,English
2018.0,World of Warcraft,5696452980.0,115508400.0,220.0,10839.0,English
2018.0,Overwatch,3372807360.0,98897820.0,188.0,6417.0,English
2018.0,IRL,3245875500.0,44615940.0,84.0,6177.0,English
2018.0,Just Chatting,3034530120.0,29642160.0,56.0,5774.0,English
2018.0,Tom Clancy's Rainbow Six Siege,2180057700.0,128855700.0,245.0,4149.0,English
2018.0,Sea of Thieves,1884203820.0,45173340.0,85.0,3585.0,English
2018.0,Dead by Daylight,1753701720.0,79035420.0,150.0,3337.0,English
2018.0,Always On,1596523140.0,4631760.0,9.0,3038.0,English
2018.0,League of Legends,2322258120.0,31177260.0,59.0,4419.0,Korean
2018.0,Just Chatting,1384307580.0,12662220.0,24.0,2634.0,Korean
2018.0,IRL,1148744700.0,15383400.0,30.0,2185.0,Korean
2018.0,Lost Ark,865763280.0,13351140.0,26.0,1647.0,Korean
2018.0,Dead by Daylight,615151920.0,8152500.0,15.0,1171.0,Korean
2018.0,Monster Hunter: World,535629000.0,13934940.0,26.0,1019.0,Korean
2018.0,Games + Demos,443267400.0,2714100.0,5.0,843.0,Korean
2018.0,Tom Clancy's Rainbow Six Siege,375955500.0,11295000.0,22.0,715.0,Korean
2018.0,Hearthstone,339163200.0,3483480.0,7.0,645.0,Korean
2018.0,World of Warcraft,295368300.0,6245700.0,12.0,562.0,Korean
2018.0,Fortnite,1371530040.0,45364500.0,87.0,2610.0,Portuguese
2018.0,Counter-Strike: Global Offensive,867267840.0,18672360.0,36.0,1650.0,Portuguese
2018.0,Grand Theft Auto V,635159700.0,5890740.0,11.0,1209.0,Portuguese
2018.0,IRL,494051340.0,3717960.0,8.0,940.0,Portuguese
2018.0,Just Chatting,362344500.0,2103000.0,4.0,689.0,Portuguese
2018.0,Sea of Thieves,262340880.0,1191660.0,2.0,499.0,Portuguese
2018.0,Tom Clancy's Rainbow Six Siege,235091580.0,5650920.0,11.0,448.0,Portuguese
2018.0,FIFA 19,186673800.0,2626500.0,4.0,355.0,Portuguese
2018.0,Tibia,180850020.0,8858880.0,16.0,344.0,Portuguese
2018.0,ARK: Survival Evolved,175122600.0,768540.0,2.0,333.0,Portuguese
2020.0,Just Chatting,2172186660.0,8130420.0,16.0,4108.0,Chinese
2020.0,Hearthstone,610291620.0,64740.0,0.0,1154.0,Chinese
2020.0,Among Us,408996060.0,1131120.0,2.0,776.0,Chinese
2020.0,League of Legends,372522300.0,-5551020.0,-11.0,688.0,Chinese
2020.0,Dead by Daylight,366964500.0,3429900.0,7.0,695.0,Chinese
2020.0,VALORANT,317176320.0,6763920.0,12.0,601.0,Chinese
2020.0,Sports,211627860.0,68280.0,0.0,401.0,Chinese
2020.0,Fitness & Health,183314400.0,38220.0,0.0,348.0,Chinese
2020.0,Slam Dunk,141478140.0,1137720.0,2.0,268.0,Chinese
2020.0,MapleStory,126642180.0,2255760.0,4.0,240.0,Chinese
2020.0,Call of Duty: Warzone,26807160420.0,855775020.0,1623.0,50852.0,English
2020.0,VALORANT,24778364520.0,428535120.0,813.0,47019.0,English
2020.0,Just Chatting,20363980980.0,169824780.0,321.0,38558.0,English
2020.0,Escape from Tarkov,13373508120.0,161820960.0,307.0,25361.0,English
2020.0,Among Us,11864286540.0,144674220.0,274.0,22514.0,English
2020.0,Minecraft,9035328240.0,138206100.0,261.0,17122.0,English
2020.0,League of Legends,7003789800.0,11417580.0,19.0,13157.0,English
2020.0,Music,6989490900.0,74670840.0,141.0,13255.0,English
2020.0,Fall Guys,4474437300.0,86693220.0,164.0,8490.0,English
2020.0,Call of Duty: Black Ops Cold War,3186409680.0,117122400.0,222.0,6046.0,English
2020.0,Just Chatting,3621226920.0,73602540.0,139.0,6838.0,Korean
2020.0,League of Legends,2522775600.0,16984860.0,32.0,4737.0,Korean
2020.0,Dead by Daylight,974234280.0,6334980.0,12.0,1846.0,Korean
2020.0,VALORANT,949991220.0,33370380.0,63.0,1802.0,Korean
2020.0,MapleStory,822666660.0,9659580.0,18.0,1560.0,Korean
2020.0,Eternal Return,819834120.0,9416940.0,17.0,1556.0,Korean
2020.0,Escape from Tarkov,719946540.0,11341380.0,21.0,1367.0,Korean
2020.0,Animal Crossing: New Horizons,617263680.0,5345520.0,10.0,1171.0,Korean
2020.0,Lost Ark,510598260.0,-768960.0,-2.0,967.0,Korean
