platform,channel_id,channel_name,peak_viewers,average_viewers,live_views
twitch,36029255,riotgames,451088,140144,18089295.0
twitch,156037856,fextralife,92467,46435,7947278.0
twitch,181077473,gaules,366056,23186,8666948.0
twitch,87056709,pgl_dota2,155951,65254,14999932.0
twitch,622498423,otplol_,111180,16371,3935568.0
twitch,71092938,xqc,113230,79877,6783454.0
twitch,67708794,nix,106771,47552,7443985.0
twitch,22346597,lvpes,118126,29132,4242831.0
twitch,641972806,kaicenat,140958,65733,7996715.0
twitch,90075649,illojuan,85495,61079,5319594.0
twitch,190835892,lck_korea,131451,48122,6340692.0
twitch,459331509,auronplay,108916,77528,7104164.0
twitch,194701696,pgl_dota2en2,96051,36319,5301720.0
twitch,238813810,eliasn97,125900,36809,1098201.0
twitch,59299632,adinross,129020,67604,5646817.0
twitch,49207184,fps_shaka,36278,18045,3874476.0
twitch,129339704,betboom_ru,72825,27022,6303083.0
twitch,142055874,lla,79715,42504,1812941.0
twitch,207813352,hasanabi,76110,30825,4499230.0
twitch,71190292,trainwreckstv,37084,21179,3299064.0
twitch,26490481,summit1g,33125,17389,3624087.0
twitch,36511475,cblol,60066,34139,1497236.0
twitch,37402112,shroud,62402,23111,4186669.0
twitch,83232866,ibai,94284,35779,3922072.0
twitch,31239503,esl_csgo,76475,6283,4268108.0
twitch,19070311,a_seagull,48530,17985,2078670.0
twitch,31919607,elxokas,33892,20611,3385636.0
twitch,52091823,castro_1021,42219,23267,3019560.0
twitch,157658336,elspreen,74901,49341,3802118.0
twitch,42316376,just_ns,32647,16835,1993361.0
twitch,50988750,stylishnoob4,23822,13582,1928163.0
twitch,138094916,sinatraa,32573,18089,871019.0
twitch,731357212,onextwo_,767642,390823,
twitch,94753024,mizkif,73610,30627,4013230.0
twitch,51496027,loltyler1,22838,14320,2255017.0
twitch,57781936,rocketleague,66556,23469,2112103.0
twitch,139470326,handongsuk,32960,15617,2407244.0
twitch,168732568,westcol,98087,29987,3544516.0
twitch,23161357,lirik,35640,20522,2000710.0
twitch,496795673,elmariana,48314,32601,3227098.0
twitch,64342766,trymacs,30724,20113,3005409.0
twitch,85397463,noway4u_sir,23241,14288,1420399.0
twitch,552120296,zackrawrr,28182,14926,1337285.0
twitch,44525650,k4sen,25057,10725,1972209.0
twitch,84316241,penta,11034,5552,1258863.0
twitch,254489093,casimito,51736,25253,1744162.0
twitch,108268890,gorgc,26284,13701,1659655.0
twitch,40336240,summonersinnlive,37298,9809,1162568.0
twitch,39276140,rubius,45631,25679,2862065.0
twitch,152633332,knekro,42320,20353,1756342.0
twitch,155601320,jltomy,21788,12615,2091834.0
twitch,125387632,amouranth,17366,9550,2696841.0
twitch,56649026,quin69,16695,11185,1005812.0
twitch,7236692,dansgaming,9199,5075,829508.0
twitch,192678094,chap,6480,3608,349905.0
twitch,77827128,tumblurr,24389,12466,1799214.0
twitch,12943173,pokelawls,21956,10476,1312182.0
twitch,25202416,shuteye_orange,7472,3499,445880.0
twitch,38244180,alanzoka,26507,20206,1743412.0
twitch,128293484,k3soju,17911,10825,941325.0
twitch,114772787,agustabell212,12787,5664,534218.0
twitch,60056333,tfue,27587,11742,2594851.0
twitch,51929371,ml7support,29321,11586,1090729.0
twitch,485855940,lolpacifictw,36566,15907,1298045.0
twitch,121059319,moonmoon,17481,12384,963993.0
twitch,132230344,moistcr1tikal,31292,13017,1150669.0
twitch,214062798,btssmash,75423,3383,1444349.0
twitch,140772558,baiano,24401,13714,735864.0
twitch,39154778,recrent,13418,7182,1660588.0
twitch,15564828,nickmercs,30581,19050,1587806.0
twitch,135468063,antoinedaniel,26398,11763,1381859.0
twitch,36138196,alexelcapo,28974,17308,1652225.0
twitch,165080419,elraenn,41159,25086,1720319.0
twitch,194702141,pgl_dota2en4,111167,21607,2976186.0
twitch,26921830,elajjaz,12145,7921,717690.0
twitch,40063341,domingo,127684,29456,1403602.0
twitch,27115917,kamet0,38936,13916,1692172.0
twitch,49440419,qojqva,11228,6910,970830.0
twitch,100901794,shylily,13207,7827,1213774.0
twitch,36340781,tarik,19250,12305,1691339.0
twitch,26610234,cohhcarnage,33955,9084,480683.0
twitch,26301881,sodapoppin,26436,16840,1138474.0
twitch,59635827,supertf,20766,8303,926470.0
twitch,86277097,buster,36795,18130,2092600.0
twitch,20992865,grubby,11108,6539,889211.0
twitch,65171890,rainbow6,29284,13587,759206.0
twitch,59799994,gabepeixe,13780,7497,4114270.0
twitch,23220337,emongg,17823,6267,737626.0
twitch,49839696,rebirthztv,20190,8951,1810601.0
twitch,445529741,kyedae,26194,10476,1191533.0
twitch,652452451,meduska,12537,6483,
twitch,30220059,esl_sc2,13298,2410,704917.0
twitch,49045679,woowakgood,32570,16178,1310624.0
twitch,104833324,riotgamesjp,20920,10949,623958.0
twitch,40488774,stray228,15107,9987,
twitch,35936871,esl_csgob,56095,18160,1469738.0
twitch,194701994,pgl_dota2en3,57689,19664,3457789.0
twitch,121510236,juansguarnizo,43140,27659,1740764.0
twitch,30857876,folagorlives,14609,7094,1569656.0
twitch,22484632,forsen,19641,10284,848414.0
