Year,Game,Change watch time (mins),Change stream time (mins),Change average channels,Change average viewers,Language
2018,Music,1448418240,1932780,4,2756,Chinese
2018,Just Chatting,429188280,3239940,6,816,Chinese
2018,Dead by Daylight,348180120,2571060,5,663,Chinese
2018,IRL,337804500,5151480,9,642,Chinese
2018,Monster Hunter: World,322541580,11858160,22,614,Chinese
2018,Hearthstone,189505800,560640,1,361,Chinese
2018,Always On,164936040,102360,0,313,Chinese
2018,Tom Clancy's Rainbow Six Siege,132156840,3729960,7,251,Chinese
2018,"Pokémon: Let's Go, Pikachu!",130949700,457380,0,249,Chinese
2018,Fortnite,128552820,2641620,5,244,Chinese
2018,Fortnite,54035333280,2402532060,4572,102819,English
2018,Call of Duty: Black Ops 4,6422336340,238609200,454,12220,English
2018,World of Warcraft,5696452980,115508400,220,10839,English
2018,Overwatch,3372807360,98897820,188,6417,English
2018,IRL,3245875500,44615940,84,6177,English
2018,Just Chatting,3034530120,29642160,56,5774,English
2018,Tom Clancy's Rainbow Six Siege,2180057700,128855700,245,4149,English
2018,Sea of Thieves,1884203820,45173340,85,3585,English
2018,Dead by Daylight,1753701720,79035420,150,3337,English
2018,Always On,1596523140,4631760,9,3038,English
2018,League of Legends,2322258120,31177260,59,4419,Korean
2018,Just Chatting,1384307580,12662220,24,2634,Korean
2018,IRL,1148744700,15383400,30,2185,Korean
2018,Lost Ark,865763280,13351140,26,1647,Korean
2018,Dead by Daylight,615151920,8152500,15,1171,Korean
2018,Monster Hunter: World,535629000,13934940,26,1019,Korean
2018,Games + Demos,443267400,2714100,5,843,Korean
2018,Tom Clancy's Rainbow Six Siege,375955500,11295000,22,715,Korean
2018,Hearthstone,339163200,3483480,7,645,Korean
2018,World of Warcraft,295368300,6245700,12,562,Korean
2018,Fortnite,1371530040,45364500,87,2610,Portuguese
2018,Counter-Strike: Global Offensive,867267840,18672360,36,1650,Portuguese
2018,Grand Theft Auto V,635159700,5890740,11,1209,Portuguese
2018,IRL,494051340,3717960,8,940,Portuguese
2018,Just Chatting,362344500,2103000,4,689,Portuguese
2018,Sea of Thieves,262340880,1191660,2,499,Portuguese
2018,Tom Clancy's Rainbow Six Siege,235091580,5650920,11,448,Portuguese
2018,FIFA 19,186673800,2626500,4,355,Portuguese
2018,Tibia,180850020,8858880,16,344,Portuguese
2018,ARK: Survival Evolved,175122600,768540,2,333,Portuguese
2020,Just Chatting,2172186660,8130420,16,4108,Chinese
2020,Hearthstone,610291620,64740,0,1154,Chinese
2020,Among Us,408996060,1131120,2,776,Chinese
2020,League of Legends,372522300,-5551020,-11,688,Chinese
2020,Dead by Daylight,366964500,3429900,7,695,Chinese
2020,VALORANT,317176320,6763920,12,601,Chinese
2020,Sports,211627860,68280,0,401,Chinese
2020,Fitness & Health,183314400,38220,0,348,Chinese
2020,Slam Dunk,141478140,1137720,2,268,Chinese
2020,MapleStory,126642180,2255760,4,240,Chinese
2020,Call of Duty: Warzone,26807160420,855775020,1623,50852,English
2020,VALORANT,24778364520,428535120,813,47019,English
2020,Just Chatting,20363980980,169824780,321,38558,English
2020,Escape from Tarkov,13373508120,161820960,307,25361,English
2020,Among Us,11864286540,144674220,274,22514,English
2020,Minecraft,9035328240,138206100,261,17122,English
2020,League of Legends,7003789800,11417580,19,13157,English
2020,Music,6989490900,74670840,141,13255,English
2020,Fall Guys,4474437300,86693220,164,8490,English
2020,Call of Duty: Black Ops Cold War,3186409680,117122400,222,6046,English
2020,Just Chatting,3621226920,73602540,139,6838,Korean
2020,League of Legends,2522775600,16984860,32,4737,Korean
2020,Dead by Daylight,974234280,6334980,12,1846,Korean
2020,VALORANT,949991220,33370380,63,1802,Korean
2020,MapleStory,822666660,9659580,18,1560,Korean
2020,Eternal Return,819834120,9416940,17,1556,Korean
2020,Escape from Tarkov,719946540,11341380,21,1367,Korean
2020,Animal Crossing: New Horizons,617263680,5345520,10,1171,Korean
2020,Lost Ark,510598260,-768960,-2,967,Korean
2020,Hearthstone,510007200,-327780,0,959,Korean
2020,League of Legends,5596270560,123412440,234,10586,Portuguese
2020,Counter-Strike: Global Offensive,5127345180,38330520,73,9705,Portuguese
2020,VALORANT,4901862600,109223700,207,9301,Portuguese
2020,Just Chatting,4627326060,59272260,112,8770,Portuguese
2020,Garena Free Fire,3177607020,16578300,31,6029,Portuguese
2020,Fortnite,2938916220,37092480,70,5570,Portuguese
2020,Grand Theft Auto V,2934324060,39516120,74,5557,Portuguese
2020,Call of Duty: Warzone,2438800380,51769260,98,4628,Portuguese
2020,Among Us,2181618180,19597020,37,4139,Portuguese
2020,Tibia,983306460,18597480,36,1862,Portuguese
2022,Just Chatting,1430958840,33403560,64,2722,Chinese
2022,Apex Legends,1023898920,54814980,104,1949,Chinese
2022,ELDEN RING,616234500,16652700,31,1173,Chinese
2022,Overwatch 2,473598240,10798080,20,901,Chinese
