Year,Channel,Watch time (mins),Stream time (mins),Average viewers,Followers,Followers gained,Language
2018,livekiss,1416769815,509640,2779,33797,15310,Chinese
2018,Uzra,629751195,197190,3193,231471,37337,Chinese
2018,接接 (godjj),621821985,131100,4742,366098,32145,Chinese
2018,老皮 (mobilmobil),560630985,104745,5351,527422,40743,Chinese
2018,殺梗 (xargon0731),538453560,123600,4355,323362,51022,Chinese
2018,餐餐自由配 (blusewilly_retry),534726825,99045,5398,437688,41746,Chinese
2018,亞洲統神 (asiagodtonegg3be0),527840265,93315,5656,559603,37874,Chinese
2018,kyo1984123,407162175,188280,2162,172374,34683,Chinese
2018,狂暴小建 (a541021),384113940,126870,3027,220965,46621,Chinese
2018,Ko0416,351738480,143520,2450,117920,49657,Chinese
2018,達哥 (underground_dv),121368495,26025,4663,162452,10105,Chinese (Hong Kong SAR)
2018,Loui5Ng,67481835,79530,848,52911,9513,Chinese (Hong Kong SAR)
2018,艾維院 (ankgaminghk),67233960,202335,331,18368,2212,Chinese (Hong Kong SAR)
2018,肥捏 (nepg),6468390,189555,33,5506,198,Chinese (Hong Kong SAR)
2018,子如初見 (hkqjai),6232455,96465,64,4863,1594,Chinese (Hong Kong SAR)
2018,Kitspy2005,4715175,39585,118,10424,1172,Chinese (Hong Kong SAR)
2018,毒叔 (diedoggod),4628490,143940,31,6290,443,Chinese (Hong Kong SAR)
2018,小幽寶寶 (ariachan_csn),4133055,95895,42,6093,3545,Chinese (Hong Kong SAR)
2018,Sing20088,3993615,44385,89,3533,672,Chinese (Hong Kong SAR)
2018,長腿木木 (longlegmumu),3692895,21750,169,16474,826,Chinese (Hong Kong SAR)
2018,Ninja,14051438610,180795,77719,18478816,11889827,English
2018,Riot Games (riotgames),6250856340,113415,55114,6547561,640558,English
2018,shroud,6135326190,183285,33473,10455581,3078868,English
2018,OverwatchLeague,3995519550,41250,96860,1771264,1184822,English
2018,sodapoppin,3333731175,133260,25016,8833961,591188,English
2018,Dakotaz,3136873860,154500,20302,4662719,2846292,English
2018,Tfue,2999618985,114615,26170,11375370,4058923,English
2018,LIRIK,2763682620,115110,24008,2923309,352401,English
2018,summit1g,2666396670,149310,17857,6167952,880890,English
2018,ELEAGUE TV (eleaguetv),2615982390,27630,94678,1610655,545925,English
2018,풍월량 (hanryang1125),1606509015,148350,10828,606248,111806,Korean
2018,Riot_esports_Korea,1216282335,54420,22349,1384798,198457,Korean
2018,얍얍 (yapyap30),1040729055,162315,6411,329016,88604,Korean
2018,서새봄냥 (saddummy),992764920,191235,5190,657679,174911,Korean
2018,한동숙 (handongsuk),877308990,164880,5320,558073,128600,Korean
2018,따효니 (ddahyoni),677227230,103050,6571,364500,84214,Korean
2018,룩삼 (looksam),532558140,126615,4205,307819,86466,Korean
2018,Faker,509630175,23010,22147,3842918,521086,Korean
2018,김도 (kimdoe),504809460,131670,3833,318592,99151,Korean
2018,우왁굳 (woowakgood),459636315,135945,3380,957397,152466,Korean
2018,YoDa,1854831030,134010,13840,2399683,437744,Portuguese
2018,alanzoka,1395409935,91380,15269,6318416,1083884,Portuguese
2018,jukes,930066390,93315,9966,1788541,417945,Portuguese
2018,Gaules,881088270,344715,2555,3847490,403613,Portuguese
2018,SkipNhO,688735335,136035,5062,1252659,390852,Portuguese
2018,jovirone,632024835,105045,6016,1147622,264980,Portuguese
2018,CBLOL,623022600,51285,12147,1559165,139599,Portuguese
2018,gratis150ml,377270505,180855,2085,831155,145817,Portuguese
2018,Rakin,311008290,64860,4794,1614264,220180,Portuguese
2018,TheDarkness,299037120,93180,3208,699121,190040,Portuguese
2020,Uzra,925532895,195825,4725,231471,42313,Chinese
2020,蝦愛橘子 (shuteye_orange),752274480,309690,2428,155363,21390,Chinese
2020,老皮 (mobilmobil),649130445,117315,5532,527422,31995,Chinese
2020,relaxing234,641065155,66765,9601,458171,100795,Chinese
2020,餐餐自由配 (blusewilly_retry),625309395,100695,6209,437688,38538,Chinese
2020,狂暴小建 (a541021),585396300,171285,3417,220965,17639,Chinese
2020,接接 (godjj),566776440,121965,4646,366098,17480,Chinese
2020,木棉花官方頻道 (muse_tw),522457770,515295,1013,228732,50275,Chinese
2020,嬌兔 (zrush),518979720,140775,3686,251960,45330,Chinese
2020,殺梗 (xargon0731),425712120,150195,2833,323362,20245,Chinese
2020,Loui5Ng,58110315,88380,656,52911,3016,Chinese (Hong Kong SAR)
2020,艾維院 (ankgaminghk),48285780,273405,176,18368,622,Chinese (Hong Kong SAR)
2020,達哥 (underground_dv),27945720,12255,2280,162452,4329,Chinese (Hong Kong SAR)
2020,melonyeahyeahyeah,26819775,402045,66,16018,621,Chinese (Hong Kong SAR)
2020,肥捏 (nepg),10201695,161850,62,5506,2043,Chinese (Hong Kong SAR)
2020,顏色教練 (colour1020),10031250,46800,214,13402,2634,Chinese (Hong Kong SAR)
2020,毒叔 (diedoggod),6045135,159300,37,6290,605,Chinese (Hong Kong SAR)
2020,YankeeChan,5675280,92115,61,6094,2453,Chinese (Hong Kong SAR)
2020,神雕 (timelipper),5611440,81840,68,2812,1145,Chinese (Hong Kong SAR)
2020,EggieMein,5403705,85125,63,3233,2983,Chinese (Hong Kong SAR)
2020,xQc,8847081540,215010,41146,11687934,5364951,English
2020,summit1g,6505033950,221550,29361,6167952,1696810,English
2020,ESL_CSGO,4786942590,518580,9230,5969718,892718,English
2020,NICKMERCS,4406970885,127065,34682,6658557,1691981,English
2020,loltyler1,4096418850,143265,28593,5180065,1059740,English
2020,Fextralife,4009993485,175785,22811,1480893,445534,English
2020,TimTheTatman,3427872990,106380,32222,7016611,1729529,English
2020,Asmongold,3316320495,76545,43324,3364117,549313,English
2020,Tfue,3147036030,137475,22891,11375370,2429948,English
2020,sodapoppin,3136184805,158025,19845,8833961,3359738,English
2020,풍월량 (hanryang1125),2371413705,176595,13428,606406,90603,Korean
2020,Riot_esports_Korea,2299170720,49080,46844,1384798,312613,Korean
2020,한동숙 (handongsuk),1549398615,137820,11241,558073,32721,Korean
2020,서새봄냥 (saddummy),1202649615,190965,6297,657679,63540,Korean
2020,괴물쥐123 (tmxk319),1004775315,127710,7867,844285,377402,Korean
2020,따효니 (ddahyoni),814193745,157890,5156,364500,50059,Korean
2020,침착맨 (zilioner),800185215,100485,7962,757286,132055,Korean
2020,녹두로 (nokduro),774409620,152040,5093,271411,106565,Korean
2020,우왁굳 (woowakgood),732657855,159015,4607,957397,200007,Korean
2020,김진우 (jinu6734),650282265,126960,5121,334955,84138,Korean
2020,Gaules,7720563330,517155,14928,3847490,1416066,Portuguese
2020,alanzoka,2538944430,104220,24360,6318416,1870473,Portuguese
2020,YoDa,1946966685,144030,13517,2399683,423257,Portuguese
2020,NOBRU,1636223115,70455,23223,3718864,2472631,Portuguese
2020,Cellbit,1413288615,105360,13413,2631483,1019647,Portuguese
2020,CBLOL,1306112925,36330,35950,1559165,342443,Portuguese
2020,Baiano,1283222505,110145,11649,826533,462094,Portuguese
2020,Rakin,971366190,162840,5964,1614264,595103,Portuguese
2020,jukes,736680300,95640,7702,1788541,386321,Portuguese
2020,JohnPitterTV,694818075,520335,1334,423910,231605,Portuguese
2022,蝦愛橘子 (shuteye_orange),1001003580,274620,3644,155363,34462,Chinese
2022,老皮 (mobilmobil),668629935,112365,5950,527422,31646,Chinese
2022,接接 (godjj),588595995,128160,4592,366098,7146,Chinese
2022,嬌兔 (zrush),564649275,151290,3732,251960,23336,Chinese
2022,lolpacifictw,563117790,37170,15149,228226,37585,Chinese
2022,餐餐自由配 (blusewilly_retry),541111815,110745,4886,437688,21049,Chinese
2022,世誠 (bbbb87),493955475,119415,4136,133758,42080,Chinese
2022,狂暴西南2 (kr1stw),461126850,129390,3563,59386,17470,Chinese
2022,Uzra,446368920,233490,1911,231471,8960,Chinese
2022,kyo1984123,442486530,242595,1824,172374,4911,Chinese
