Year,Game,Watch time (mins),Stream time (mins),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Language
2019,League of Legends,3492795000,37362120,87173,214,19640,6646,71,93.48,Chinese
2019,Just Chatting,2764575960,19394460,35003,223,11200,5260,36,142.54,Chinese
2019,Grand Theft Auto V,1178716260,6094020,46873,96,3835,2242,11,193.42,Chinese
2019,Music,1010417460,4248840,14988,18,577,1922,8,237.81,Chinese
2019,Hearthstone,788745840,3085680,38094,56,2728,1500,5,255.61,Chinese
2019,Teamfight Tactics,553338960,4430700,16667,97,3761,1052,8,124.89,Chinese
2019,World of Warcraft,495260400,10106580,24409,173,3127,942,19,49,Chinese
2019,PUBG: BATTLEGROUNDS,483295740,14660040,16506,124,8678,919,27,32.97,Chinese
2019,Apex Legends,338214900,10415580,47356,224,8190,643,19,32.47,Chinese
2019,Dota 2,306208260,2394120,21382,75,2814,582,4,127.9,Chinese
2019,Monster Hunter: World,279069120,9685500,19625,255,5786,531,18,28.81,Chinese
2019,Tom Clancy's Rainbow Six Siege,266864700,7430700,42943,83,5562,507,14,35.91,Chinese
2019,Sekiro: Shadows Die Twice,257900340,3831480,39512,352,4234,490,7,67.31,Chinese
2019,Path of Exile,233302020,6038340,5203,97,3007,443,11,38.64,Chinese
2019,Dead by Daylight,226298280,4096200,8875,44,2369,430,7,55.25,Chinese
2019,Overwatch,139155540,5571240,11519,52,4102,264,10,24.98,Chinese
2019,Talk Shows & Podcasts,135033900,1098000,13276,14,1255,256,2,122.98,Chinese
2019,Counter-Strike: Global Offensive,134870640,3967740,5117,38,4033,256,7,33.99,Chinese
2019,Games + Demos,132241020,948840,13094,13,847,251,1,139.37,Chinese
2019,Shadowverse,118828800,2819340,3402,40,1051,226,5,42.15,Chinese
2019,Pokémon Sword/Shield,113218860,812220,23370,106,579,215,1,139.39,Chinese
2019,Resident Evil 2,112674960,1414620,39957,268,2468,214,2,79.65,Chinese
2019,MapleStory,94433100,3985380,5611,35,2215,179,7,23.69,Chinese
2019,Tom Clancy's The Division 2,84449640,3002880,29416,203,3082,160,5,28.12,Chinese
2019,Conqueror's Blade,81991740,743340,16438,46,451,156,1,110.3,Chinese
2019,Total War: Three Kingdoms,80747880,420780,19018,57,555,153,0,191.9,Chinese
2019,Street Fighter V,79737420,398460,7562,9,358,151,0,200.11,Chinese
2019,Death Stranding,77251080,1247700,19121,161,1070,146,2,61.91,Chinese
2019,Black Desert,75779220,3957420,6343,29,1605,144,7,19.15,Chinese
2019,Fate/Grand Order,66696420,1716780,18379,40,1157,126,3,38.85,Chinese
2019,StarCraft II,59224980,717000,3994,12,581,112,1,82.6,Chinese
2019,Princess Connect! Re:Dive,56398800,976500,11956,34,762,107,1,57.76,Chinese
2019,Minecraft,54222480,2503680,9015,36,3522,103,4,21.66,Chinese
