Year,Game,Watch time (mins),Stream time (mins),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Language
2019,League of Legends,9674741100,110194800,314004,906,59010,18409,209,87.8,Korean
2019,Just Chatting,6415410780,84996480,122229,1257,44832,12207,161,75.48,Korean
2019,Overwatch,1768915620,40752240,56744,254,27965,3365,77,43.41,Korean
2019,Hearthstone,1671010680,7783500,29685,102,7825,3179,14,214.69,Korean
2019,PUBG: BATTLEGROUNDS,1563664620,72347520,39017,464,35467,2975,137,21.61,Korean
2019,World of Warcraft,1439995560,25797780,46924,249,5731,2740,49,55.82,Korean
2019,Teamfight Tactics,1204365480,13190340,103568,386,13385,2291,25,91.31,Korean
2019,Minecraft,1188026340,14053380,105106,147,14621,2260,26,84.54,Korean
2019,Games + Demos,707836680,5807460,41886,81,10412,1346,11,121.88,Korean
2019,Apex Legends,693863640,21710220,47136,511,14728,1320,41,31.96,Korean
2019,Dead by Daylight,663175620,12889260,22228,112,9858,1261,24,51.45,Korean
2019,Super Mario Maker 2,419288220,944820,25946,51,679,797,1,443.78,Korean
2019,Tom Clancy's Rainbow Six Siege,376330860,21888000,22027,194,15735,716,41,17.19,Korean
2019,Auto Chess,358371480,5316900,55207,144,4745,681,10,67.4,Korean
2019,Monster Hunter: World,357927540,15468720,26899,173,8817,681,29,23.14,Korean
2019,Black Desert,357274440,7668660,15931,57,2226,679,14,46.59,Korean
2019,Path of Exile,325556340,9980220,21443,263,4554,619,18,32.62,Korean
2019,Lost Ark,321925500,10011660,20832,184,4686,612,19,32.16,Korean
2019,Art,315673200,14864100,9785,97,7447,600,28,21.24,Korean
2019,StarCraft II,305064060,4235220,13115,34,3610,580,8,72.03,Korean
2019,FIFA 20,300795720,1067760,46026,53,862,572,2,281.71,Korean
2019,Total War: Three Kingdoms,293578920,1838700,32363,202,1756,558,3,159.67,Korean
2019,Dota 2,292627020,3449100,23688,145,4009,556,6,84.84,Korean
2019,Rust,289147380,3476400,37168,113,2149,550,6,83.17,Korean
2019,StarCraft,284195460,2798280,64687,33,3587,540,5,101.56,Korean
2019,Sekiro: Shadows Die Twice,281919240,3944280,52704,371,4386,536,7,71.48,Korean
2019,Tekken 7,266877300,6761700,12538,66,4228,507,12,39.47,Korean
2019,Talk Shows & Podcasts,265817220,834780,43217,18,3554,505,1,318.43,Korean
2019,MapleStory,226307580,10797180,20633,191,10094,430,20,20.96,Korean
2019,Pokémon Sword/Shield,197275680,1256640,38958,118,984,375,2,156.99,Korean
2019,Food & Drink,184051380,780180,23521,21,3433,350,1,235.91,Korean
2019,Kartrider,177022500,6878100,22997,83,10406,336,13,25.74,Korean
2019,Warcraft III,165636720,2140380,10307,23,1159,315,4,77.39,Korean
2019,My Summer Car,159931860,77640,22758,9,226,304,0,2059.92,Korean
2019,Heroes of the Storm,156198600,6064020,7649,58,3358,297,11,25.76,Korean
2019,FIFA Online 4,147981540,1360500,59631,20,2771,281,2,108.77,Korean
2019,Princess Connect! Re:Dive,145934940,1772400,26634,55,1272,277,3,82.34,Korean
2019,Grand Theft Auto V,131178840,6031500,13996,95,6658,249,11,21.75,Korean
2019,ARK: Survival Evolved,113638320,2949960,12950,75,1785,216,5,38.52,Korean
2019,Street Fighter V,113462520,1202520,8221,22,493,215,2,94.35,Korean
2019,Music,112292820,2112480,15798,23,4752,213,4,53.16,Korean
2019,Death Stranding,107417100,627840,41987,104,624,204,1,171.09,Korean
2019,Resident Evil 2,106979700,1521780,41398,231,2795,203,2,70.3,Korean
2019,Phoenix Wright: Ace Attorney Trilogy HD,94517520,398280,21561,29,585,179,0,237.31,Korean
2019,Call of Duty: Warzone,90747060,2345220,56638,243,3864,172,4,38.69,Korean
2019,Mount & Blade: Warband,86127000,252180,14920,9,398,163,0,341.53,Korean
2019,Tom Clancy's The Division 2,85619700,4048740,9443,163,3062,162,7,21.15,Korean
2019,Legends of Runeterra,83111880,432480,40112,152,1375,158,0,192.18,Korean
2019,Football Manager 2020,78593880,212160,23450,14,175,149,0,370.45,Korean
2019,The King of Fighters '98,75887400,435900,23368,10,324,144,0,174.09,Korean
2019,Football Manager 2019,71512800,642720,23073,13,541,136,1,111.27,Korean
2019,Dark Souls III,71113800,3409140,6169,34,4496,135,6,20.86,Korean
2019,Tropico 6,70515720,340080,23522,44,594,134,0,207.35,Korean
2019,Friends Marble,69832560,33120,29274,6,132,132,0,2108.47,Korean
