Year,Game,Watch time (mins),Stream time (mins),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Language
2020,Just Chatting,36624550260,360641760,633333,2958,699903,69498,684,101.55,English
2020,League of Legends,32784143700,419893800,696710,3712,384236,62211,796,78.08,English
2020,Call of Duty: Warzone,30210972960,1010666460,542532,8024,1465295,57328,1917,29.89,English
2020,Fortnite,29913864120,1060402800,517419,13137,2235117,56764,2012,28.21,English
2020,VALORANT,24778364520,428535120,999338,6659,539345,47019,813,57.82,English
2020,World of Warcraft,18718344120,304041960,501134,7551,187908,35520,576,61.57,English
2020,Escape from Tarkov,16670189280,241163460,336697,1921,136081,31633,457,69.12,English
2020,Counter-Strike: Global Offensive,14813706240,124263000,303160,1123,294722,28110,235,119.21,English
2020,Grand Theft Auto V,14635110540,190130220,123287,1149,465139,27771,360,76.97,English
2020,Minecraft,13446342480,339125160,528676,2395,874798,25515,643,39.65,English
2020,Among Us,11864605200,144688980,699762,5478,448070,22514,274,82,English
2020,Dota 2,11302033380,46164300,159440,228,41702,21446,87,244.82,English
2020,Apex Legends,10358957220,505695480,215169,4491,666209,19657,959,20.48,English
2020,Music,8702044080,152709240,182544,1200,132140,16513,289,56.98,English
2020,Hearthstone,7732810020,29821680,101540,388,36797,14673,56,259.3,English
2020,Overwatch,6597864720,209540700,176863,1135,300112,12520,397,31.49,English
2020,Dead by Daylight,5474188260,223441020,98857,1509,220614,10387,424,24.5,English
2020,Rocket League,5213669580,177318660,216502,1277,485867,9893,336,29.4,English
2020,Slots,5152395600,12024600,89435,57,5478,9777,22,428.49,English
2020,Destiny 2,4913111700,209186040,360358,7794,227398,9323,396,23.49,English
2020,Fall Guys,4474437300,86693220,586085,3354,320475,8490,164,51.61,English
2020,Path of Exile,4336486320,37169640,98314,1203,33780,8228,70,116.67,English
2020,Tom Clancy's Rainbow Six Siege,4192495680,207033300,138577,1336,548399,7955,392,20.25,English
2020,FIFA 20,4030696860,57406140,165203,1042,199400,7648,108,70.21,English
2020,Old School RuneScape,3945795600,64981560,93511,416,39008,7487,123,60.72,English
2020,Teamfight Tactics,3727256820,42160800,105050,434,69643,7072,80,88.41,English
2020,Chess,3650941920,14748720,124823,81,26663,6928,27,247.54,English
