Year,Game,Watch time (mins),Stream time (mins),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Language
2021,Grand Theft Auto V,14534367060,124179420,340541,833,104941,27656,236,117.04,Portuguese
2021,Counter-Strike: Global Offensive,13203020280,110255400,355070,925,110875,25122,209,119.75,Portuguese
2021,League of Legends,12008705340,289172580,349154,2011,169653,22850,550,41.53,Portuguese
2021,Just Chatting,11278880760,129512940,157032,1023,147511,21461,246,87.09,Portuguese
2021,VALORANT,5569723560,173214480,140146,1449,140976,10598,329,32.16,Portuguese
2021,Fortnite,4015074600,102706080,102844,2036,147009,7639,195,39.09,Portuguese
2021,Garena Free Fire,3597615060,40645080,508639,319,75632,6845,77,88.51,Portuguese
2021,Call of Duty: Warzone,2353498620,69468480,94635,983,52992,4478,132,33.88,Portuguese
2021,Tom Clancy's Rainbow Six Siege,1720775280,27856200,96086,264,45742,3274,53,61.77,Portuguese
2021,Sports,1707306900,1798980,141884,69,3817,3248,3,949.04,Portuguese
2021,FIFA 21,1563041880,19810440,131371,232,32354,2974,37,78.9,Portuguese
2021,Tibia,1433348520,48348780,14818,292,13245,2727,91,29.65,Portuguese
2021,Dota 2,1082675940,17475360,22380,122,9022,2060,33,61.95,Portuguese
2021,Minecraft,1072860540,50032620,72531,341,107118,2041,95,21.44,Portuguese
2021,Dead by Daylight,916756620,50781300,20341,481,38796,1744,96,18.05,Portuguese
2021,Tabletop RPGs,786647460,3754440,131021,67,3389,1496,7,209.52,Portuguese
2021,New World,770602200,18581580,111070,1425,17719,1466,35,41.47,Portuguese
2021,Genshin Impact,729348960,24854220,42425,353,25631,1387,47,29.35,Portuguese
2021,FIFA 22,649016640,6934500,67857,202,12062,1234,13,93.59,Portuguese
2021,Teamfight Tactics,634539180,14044500,32220,268,22311,1207,26,45.18,Portuguese
2021,League of Legends: Wild Rift,622962300,12279300,47991,411,19841,1185,23,50.73,Portuguese
2021,Rocket League,572558160,25178760,45479,234,71659,1089,47,22.74,Portuguese
2021,Among Us,510050580,5199660,92418,143,29787,970,9,98.09,Portuguese
2021,Escape from Tarkov,497985120,11066760,41243,147,4387,947,21,45,Portuguese
2021,Talk Shows & Podcasts,482341320,3813300,57064,62,5577,917,7,126.49,Portuguese
2021,Bloons TD 6,404978220,4270080,136259,201,12598,770,8,94.84,Portuguese
2021,Apex Legends,401254680,27081000,49620,309,35982,763,51,14.82,Portuguese
2021,PUBG: BATTLEGROUNDS,378159420,21860400,19714,174,19167,719,41,17.3,Portuguese
2021,Music,371846880,8928660,81024,96,9307,707,16,41.65,Portuguese
2021,Motorsport Manager,322582260,303900,56396,13,720,613,0,1061.48,Portuguese
2021,Crypto,318157800,1904460,20809,56,1689,605,3,167.06,Portuguese
2021,War by Grow Games,313706400,459600,60094,29,1522,596,0,682.56,Portuguese
2021,World of Warcraft,290204820,13380720,12609,189,8024,552,25,21.69,Portuguese
2021,MIR 4,284881680,8996460,14256,190,9069,542,17,31.67,Portuguese
2021,Sea of Thieves,282638160,11512500,61669,568,23018,537,21,24.55,Portuguese
2021,Poker,276553080,3041700,27417,28,2221,526,5,90.92,Portuguese
2021,Rust,269467320,5449320,18775,97,5905,512,10,49.45,Portuguese
2021,Axie Infinity,261956640,4654920,7067,78,3862,498,8,56.28,Portuguese
2021,Art,259948140,15214740,68958,121,14750,494,28,17.09,Portuguese
2021,Special Events,251043780,1006080,180753,863,4116,477,1,249.53,Portuguese
2021,Black Desert,240861420,7582020,7808,66,4638,458,14,31.77,Portuguese
2021,Resident Evil Village,229961640,5224380,98137,751,13044,437,9,44.02,Portuguese
2021,Chess,226963200,1913580,24092,21,3746,431,3,118.61,Portuguese
2021,Hearthstone,226516980,3383400,9930,48,4025,431,6,66.95,Portuguese
2021,Red Dead Redemption 2,207712320,6459840,32349,74,14882,395,12,32.15,Portuguese
2021,It Takes Two,201658320,1502340,71719,58,5348,383,2,134.23,Portuguese
2021,Slots,199482180,1708680,23588,19,1320,379,3,116.75,Portuguese
2021,NBA 2K21,198187140,1786860,56231,55,5936,377,3,110.91,Portuguese
2021,ASMR,196722480,1219680,5518,16,1297,374,2,161.29,Portuguese
2021,Saint Seiya: Awakening,186641160,2179440,7074,35,944,355,4,85.64,Portuguese
2021,Paladins,184843020,6938160,8795,58,13792,351,13,26.64,Portuguese
2021,Legends of Runeterra,181626360,2883120,12873,46,3760,345,5,63,Portuguese
2021,Fall Guys,178051500,7284180,62143,199,26290,338,13,24.44,Portuguese
2021,Don't Starve Together,176854620,3904140,11617,56,7429,336,7,45.3,Portuguese
2021,Call of Duty: Modern Warfare,167975700,37376520,27912,814,69465,319,71,4.49,Portuguese
2021,Eternal Return,165062880,3002820,32131,69,4725,314,5,54.97,Portuguese
2021,Path of Exile,164571900,5113500,6227,168,4981,313,9,32.18,Portuguese
2021,Valheim,164493780,8200200,32602,370,13800,312,15,20.06,Portuguese
2021,Pokémon UNITE,151745880,4456680,48106,321,7065,288,8,34.05,Portuguese
2021,Magic: The Gathering,148934700,2885700,7128,54,2636,283,5,51.61,Portuguese
2021,Summoners War: Sky Arena,145675800,1841940,8701,19,773,277,3,79.09,Portuguese
2021,Retro,140265600,6335760,8861,56,4920,266,12,22.14,Portuguese
2021,ARK: Survival Evolved,137121000,5275980,23643,65,8403,260,10,25.99,Portuguese
2021,Dark Souls III,134524980,5010240,25963,61,11452,255,9,26.85,Portuguese
2021,Ragnarok Online,131761500,5596080,6254,53,2719,250,10,23.55,Portuguese
2021,Grand Chase,130430640,4277160,56917,833,10922,248,8,30.49,Portuguese
2021,Call of Duty: Vanguard,126967500,2020260,78485,173,6449,241,3,62.85,Portuguese
2021,Phasmophobia,126943320,8024640,50360,158,23758,241,15,15.82,Portuguese
2021,Battlefield 2042,123898140,1332900,42741,224,4069,235,2,92.95,Portuguese
2021,Overwatch,118669200,9273180,24235,117,15011,225,17,12.8,Portuguese
2021,Detroit: Become Human,118310040,1013400,32797,19,3790,225,1,116.75,Portuguese
2021,Suspects: Mystery Mansion,115026780,349020,53498,24,1290,218,0,329.57,Portuguese
2021,Street Fighter V,114000360,2884680,7891,33,2694,216,5,39.52,Portuguese
2021,Tribes of Midgard,110198820,871800,39206,124,2507,209,1,126.4,Portuguese
2021,Albion Online,102237540,4603080,5117,43,4152,194,8,22.21,Portuguese
2021,Lineage II,98727780,4395420,25993,41,1760,187,8,22.46,Portuguese
2021,MU Online,95637480,2999040,9303,25,1205,181,5,31.89,Portuguese
2021,Business Tour,94877400,697200,59684,54,6114,180,1,136.08,Portuguese
2021,Euro Truck Simulator 2,92239320,5271600,14845,54,11861,175,10,17.5,Portuguese
2021,Stardew Valley,88949700,7081920,6372,69,14633,169,13,12.56,Portuguese
2021,The Isle,88834260,1322460,31998,37,1562,169,2,67.17,Portuguese
2021,Back 4 Blood,88572060,1813500,53228,416,8570,168,3,48.84,Portuguese
2021,iRacing,88167960,2125500,8963,55,997,167,4,41.48,Portuguese
2021,Call of Duty: Mobile,85888440,6115440,9599,67,14429,163,11,14.04,Portuguese
2021,Gartic Phone,85333380,2969880,90088,69,16181,162,5,28.73,Portuguese
2021,SMITE,84059400,4285140,2554,38,5157,159,8,19.62,Portuguese
2021,Mobile Legends: Bang Bang,83574420,4193220,19339,40,5711,159,7,19.93,Portuguese
2021,ROBLOX,83088420,9854700,13263,68,29890,158,18,8.43,Portuguese
2021,Hunt: Showdown,79677780,3103380,32523,45,2764,151,5,25.67,Portuguese
2021,Watch Parties,78836520,804540,32309,27,4655,150,1,97.99,Portuguese
2021,Grand Theft Auto: San Andreas,78394020,3964740,30972,57,13967,149,7,19.77,Portuguese
2021,FINAL FANTASY XIV ONLINE,78223260,4470720,28056,55,3198,148,8,17.5,Portuguese
2021,Dark Souls,78183240,2302500,16122,33,4707,148,4,33.96,Portuguese
2021,F1 2021,77738340,949980,10965,29,2136,147,1,81.83,Portuguese
2021,Call of Duty: Black Ops Cold War,76477560,5500500,7870,138,15361,145,10,13.9,Portuguese
2021,Project Zomboid,76378920,1591080,29023,45,2659,145,3,48,Portuguese
2021,The Witcher 3: Wild Hunt,72676380,2887440,16620,39,8324,138,5,25.17,Portuguese
2021,Wreckfest,72177960,190740,59809,22,1583,137,0,378.41,Portuguese
2021,CABAL Online,71626860,2775060,937,23,1331,136,5,25.81,Portuguese
2021,DayZ,71012340,5037180,2468,45,7114,135,9,14.1,Portuguese
